Date/Time,Generation
 04/03  01:00:00,0
 04/03  02:00:00,0
 04/03  03:00:00,0
 04/03  04:00:00,0
 04/03  05:00:00,0
 04/03  06:00:00,0.104
 04/03  07:00:00,42.111
 04/03  08:00:00,139.005
 04/03  09:00:00,243.434
 04/03  10:00:00,334.045
 04/03  11:00:00,379.118
 04/03  12:00:00,402.026
 04/03  13:00:00,402.234
 04/03  14:00:00,372.301
 04/03  15:00:00,304.670
 04/03  16:00:00,181.146
 04/03  17:00:00,70.427
 04/03  18:00:00,26.639
 04/03  19:00:00,0
 04/03  20:00:00,0
 04/03  21:00:00,0
 04/03  22:00:00,0
 04/03  23:00:00,0
 04/03  24:00:00,0
