Date/Time,Generation
 07/20  01:00:00,0
 07/20  02:00:00,0
 07/20  03:00:00,0
 07/20  04:00:00,0
 07/20  05:00:00,0.405
 07/20  06:00:00,23.932
 07/20  07:00:00,85.063
 07/20  08:00:00,167.070
 07/20  09:00:00,240.768
 07/20  10:00:00,297.654
 07/20  11:00:00,334.061
 07/20  12:00:00,350.185
 07/20  13:00:00,347.091
 07/20  14:00:00,322.750
 07/20  15:00:00,281.898
 07/20  16:00:00,221.736
 07/20  17:00:00,144.921
 07/20  18:00:00,73.008
 07/20  19:00:00,20.255
 07/20  20:00:00,0
 07/20  21:00:00,0
 07/20  22:00:00,0
 07/20  23:00:00,0
 07/20  24:00:00,0
