Date/Time,B1,B9,B30,B2,B3,B4,B5,B10,B11,B12,B13,B14,B15,B16,B20,B21,B22,B23,B24,B25,B31,B32,B33,B17,B26,B34,B6,B27,B7,B18,B35,B8,B28,B19,B29,B36,
 04/03  01:00:00,27.70241598,17.80869599,47.48985596,191.4739294,33.92502245,2.462129876,15.58015169,18.17684364,36.35368727,36.35368727,6.924511861,10.38676779,15.58015169,20.77353558,7.790075844,13.84902372,15.58015169,24.23579151,13.84902372,24.23579151,10.38676779,28.2750901,17.31127965,6.409933852,11.39543796,6.409933852,4.700145528,5.640174634,4.296694018,3.069067156,1.280145263,18.97869435,5.97929735,1.922133032,2.745904331,2.883199548,
 04/03  02:00:00,26.59587949,17.0973511,45.59293627,191.4739294,30.01626716,2.385280025,15.58015169,18.17684364,36.35368727,36.35368727,6.924511861,10.38676779,15.58015169,20.77353558,7.790075844,13.84902372,15.58015169,24.23579151,13.84902372,24.23579151,10.38676779,28.2750901,17.31127965,7.948402099,14.13049262,7.948402099,6.081288871,7.297546646,4.296694018,3.069067156,1.280145263,18.97869435,5.97929735,1.922133032,2.745904331,2.883199548,
 04/03  03:00:00,26.04261124,16.74167866,44.64447642,191.4739294,30.01626716,2.385280025,15.58015169,18.17684364,36.35368727,36.35368727,6.924511861,10.38676779,15.58015169,20.77353558,7.790075844,13.84902372,15.58015169,24.23579151,13.84902372,24.23579151,10.38676779,28.2750901,17.31127965,6.303801196,11.20675768,6.303801196,4.600258156,5.520309788,4.296694018,3.069067156,1.280145263,18.97869435,5.97929735,1.922133032,2.745904331,2.883199548,
 04/03  04:00:00,26.50045826,17.03600888,45.42935702,191.4739294,30.01626716,2.386976293,15.58015169,18.17684364,36.35368727,36.35368727,6.924511861,10.38676779,15.58015169,20.77353558,7.790075844,13.84902372,15.58015169,24.23579151,13.84902372,24.23579151,10.38676779,28.2750901,17.31127965,11.23760391,19.9779625,11.23760391,9.043350301,10.85202036,4.296694018,3.069067156,1.280145263,18.97869435,5.97929735,1.922133032,2.745904331,2.883199548,
 04/03  05:00:00,31.07729939,19.97826389,53.27537039,191.4739294,37.71423267,3.565747423,15.8396393,18.47957918,36.95915836,36.95915836,7.039839687,10.55975953,15.8396393,21.11951906,7.919819648,14.07967937,15.8396393,24.6394389,14.07967937,24.6394389,10.55975953,28.74601206,17.59959922,23.55514577,41.8758147,23.55514577,20.2012307,24.24147683,4.296694018,3.069067156,1.280145263,18.97869435,5.97929735,1.922133032,2.745904331,2.883199548,
 04/03  06:00:00,39.81127643,25.59296342,68.24790245,191.3641684,90.14200935,8.340264823,19.50729993,22.75851658,45.51703317,45.51703317,8.669911079,13.00486662,19.50729993,26.00973324,9.753649964,17.33982216,19.50729993,30.34468878,17.33982216,30.34468878,13.00486662,35.40213691,21.6747777,26.31340455,46.77938587,26.31340455,22.66586067,27.1990328,4.296694018,3.069067156,1.280145263,18.97869435,5.97929735,2.054440351,2.934914787,3.081660527,
 04/03  07:00:00,47.1295108,30.29754266,80.79344709,331.6806698,115.5876837,10.7132636,24.90861961,29.06005621,58.12011241,58.12011241,11.0704976,16.6057464,24.90861961,33.21149281,12.4543098,22.14099521,24.90861961,38.74674161,22.14099521,38.74674161,16.6057464,45.20453188,27.67624401,29.33124857,52.1444419,29.33124857,25.21980319,30.26376383,10.75957087,7.685407768,1.280145263,19.02877226,5.993634118,3.678994884,5.255706977,5.518492326,
 04/03  08:00:00,47.6615055,30.63953925,81.705438,464.1912199,85.1005112,8.966638891,58.90059525,68.71736113,137.4347223,137.4347223,26.17804233,39.2670635,58.90059525,78.534127,29.45029763,52.35608467,58.90059525,91.62314817,52.35608467,91.62314817,39.2670635,106.8936729,65.44510584,35.2100091,62.59557172,35.2100091,30.44975133,36.53970159,18.54305247,13.24503748,6.496815432,61.94994902,18.94506534,8.294526395,11.84932342,12.44178959,
 04/03  09:00:00,46.08674366,29.62719236,79.00584628,464.1842794,85.1005112,8.44406832,56.47047191,65.88221722,131.7644344,131.7644344,25.09798751,37.64698127,56.47047191,75.29396254,28.23523595,50.19597503,56.47047191,87.8429563,50.19597503,87.8429563,37.64698127,102.483449,62.74496878,40.16286853,71.40065517,40.16286853,34.91315372,41.89578446,33.2206502,23.72903585,24.32305718,64.08340666,19.71946408,8.605697857,12.29385408,12.90854679,
 04/03  10:00:00,44.65899064,28.70935112,76.55826966,464.2062289,58.94610393,5.061329695,55.90967421,65.22795324,130.4559065,130.4559065,24.84874409,37.27311614,55.90967421,74.54623228,27.9548371,49.69748819,55.90967421,86.97060433,49.69748819,86.97060433,37.27311614,101.465705,62.12186023,49.80651418,88.54491411,49.80651418,43.50199175,52.2023901,34.02655019,24.3046787,36.97130142,67.25997741,20.81163823,8.722041491,12.46005927,13.08306224,
 04/03  11:00:00,45.21225888,29.06502357,77.50672951,465.4033133,59.61307516,4.952685155,56.47047191,65.88221722,131.7644344,131.7644344,25.09798751,37.64698127,56.47047191,75.29396254,28.23523595,50.19597503,56.47047191,87.8429563,50.19597503,87.8429563,37.64698127,102.483449,62.74496878,58.73484579,104.4175036,58.73484579,49.22006938,59.06408326,34.88559424,24.9182816,36.97130142,67.90040939,21.19443461,8.753635549,12.50519364,13.13045332,
 04/03  12:00:00,44.57038477,28.65239021,76.4063739,464.1791846,58.94610393,4.802739227,53.71897368,62.67213596,125.3442719,125.3442719,23.87509941,35.81264912,53.71897368,71.62529824,26.85948684,47.75019883,53.71897368,83.56284795,47.75019883,83.56284795,35.81264912,97.48998927,59.68774853,51.45746733,91.47994192,51.45746733,44.98979255,53.98775106,33.44148718,23.88677655,36.97130142,67.32913529,20.81841835,4.755850855,6.79407265,7.133776283,
 04/03  13:00:00,42.9991859,27.64233379,73.71289012,464.0504408,58.94610393,4.95643409,56.93780332,66.4274372,132.8548744,132.8548744,25.30569036,37.95853555,56.93780332,75.91707109,28.46890166,50.61138073,56.93780332,88.56991627,50.61138073,88.56991627,37.95853555,103.331569,63.26422591,48.15556104,85.60988629,48.15556104,42.01419095,50.41702915,32.46604887,23.1900349,36.97130142,64.34795725,19.78140399,8.206485356,11.72355051,12.30972803,
 04/03  14:00:00,42.44591766,27.28666135,72.76443027,464.0201898,58.94610393,4.950566916,55.90967421,65.22795324,130.4559065,130.4559065,24.84874409,37.27311614,55.90967421,74.54623228,27.9548371,49.69748819,55.90967421,86.97060433,49.69748819,86.97060433,37.27311614,101.465705,62.12186023,44.85365475,79.73983066,44.85365475,39.03858936,46.84630723,31.89662568,22.78330406,36.97130142,64.14883943,19.86112567,8.191319778,11.7018854,12.28697967,
 04/03  15:00:00,44.44661144,28.57282164,76.19419104,464.0201898,58.94610393,4.906875526,55.90967421,65.22795324,130.4559065,130.4559065,24.84874409,37.27311614,55.90967421,74.54623228,27.9548371,49.69748819,55.90967421,86.97060433,49.69748819,86.97060433,37.27311614,101.465705,62.12186023,44.85365475,79.73983066,44.85365475,39.03858936,46.84630723,32.93209838,23.52292741,36.97130142,62.70805317,19.3015207,8.227674491,11.7538207,12.34151174,
 04/03  16:00:00,54.41581161,34.98159318,93.28424848,282.6474978,62.37299425,5.146861819,56.75087075,66.20934921,132.4186984,132.4186984,25.22260922,37.83391384,56.75087075,75.66782767,28.37543538,50.44521845,56.75087075,88.27913228,50.44521845,88.27913228,37.83391384,102.992321,63.05652306,49.80651418,88.54491411,49.80651418,43.50199175,52.2023901,34.43053142,24.59323673,36.97130142,62.93464826,19.36962278,8.119668245,11.59952606,12.17950237,
 04/03  17:00:00,67.28966341,43.25764076,115.3537087,282.7378633,76.58361849,7.101852661,34.9399997,40.76333298,81.52666596,81.52666596,15.52888875,23.29333313,34.9399997,46.58666626,17.46999985,31.05777751,34.9399997,54.35111064,31.05777751,54.35111064,23.29333313,63.40962908,38.82222188,49.80651418,88.54491411,49.80651418,43.50199175,52.2023901,36.02813342,25.73438102,36.97130142,34.32019296,11.52732652,3.82655552,5.466507885,5.73983328,
 04/03  18:00:00,68.00639098,43.7183942,116.5823845,283.5182837,103.8407916,7.296780621,23.60527956,27.53949282,55.07898565,55.07898565,10.49123536,15.73685304,23.60527956,31.47370609,11.80263978,20.98247072,23.60527956,36.71932377,20.98247072,36.71932377,15.73685304,42.83921106,26.2280884,47.13348376,83.79286001,47.13348376,41.56395456,49.87674547,28.69451631,20.49608308,36.97130142,41.19701168,14.51136715,1.911494972,2.730707103,2.867242458,
 04/03  19:00:00,63.43481961,40.77952689,108.745405,283.6528238,118.8215626,7.170986432,24.10019344,28.11689235,56.23378469,56.23378469,10.71119708,16.06679563,24.10019344,32.13359125,12.05009672,21.42239417,24.10019344,37.48918979,21.42239417,37.48918979,16.06679563,43.73738809,26.77799271,44.3374937,78.82221102,44.3374937,39.14420158,46.9730419,25.32230543,18.08736102,36.97130142,43.36379257,15.2998651,1.921554533,2.745077904,2.882331799,
 04/03  20:00:00,61.22174663,39.35683712,104.9515656,283.6551873,132.823331,8.147659183,21.98311051,25.64696226,51.29392453,51.29392453,9.770271339,14.65540701,21.98311051,29.31081402,10.99155526,19.54054268,21.98311051,34.19594969,19.54054268,34.19594969,14.65540701,39.89527463,24.42567835,41.04805523,72.97432041,41.04805523,36.17951788,43.41542146,25.3287021,18.09193007,24.83026036,42.86057938,14.7615775,1.922133032,2.745904331,2.883199548,
 04/03  21:00:00,56.60478741,36.38879191,97.03677842,283.6551873,130.097711,7.976819871,21.97854468,25.64163546,51.28327093,51.28327093,9.768242081,14.65236312,21.97854468,29.30472624,10.98927234,19.53648416,21.97854468,34.18884729,19.53648416,34.18884729,14.65236312,39.8869885,24.4206052,37.74614894,67.10426478,37.74614894,33.20391629,39.84469954,5.070676679,3.621911914,11.83740538,19.53179615,6.192834006,1.922133032,2.745904331,2.883199548,
 04/03  22:00:00,46.45530646,29.86412558,79.63766821,274.3395777,97.567196,5.072031724,19.85020622,23.15857392,46.31714785,46.31714785,8.822313876,13.23347081,19.85020622,26.46694163,9.925103111,17.64462775,19.85020622,30.87809857,17.64462775,30.87809857,13.23347081,36.02444833,22.05578469,20.52587851,36.49045068,20.52587851,17.56757972,21.08109566,4.357402205,3.112430146,11.76472176,18.97869435,5.97929735,1.922133032,2.745904331,2.883199548,
 04/03  23:00:00,37.45208633,24.07634121,64.20357657,192.6523295,66.6984026,2.668759079,18.78589131,21.9168732,43.8337464,43.8337464,8.349285028,12.52392754,18.78589131,25.04785508,9.392945657,16.69857006,18.78589131,29.2224976,16.69857006,29.2224976,12.52392754,34.09291387,20.87321257,13.41477655,23.84849165,13.41477655,8.752045058,10.50245407,4.357402205,3.112430146,6.731321006,19.42913554,6.074129701,1.922133032,2.745904331,2.883199548,
