Date/Time,B1,B9,B30,B2,B3,B4,B5,B10,B11,B12,B13,B14,B15,B16,B20,B21,B22,B23,B24,B25,B31,B32,B33,B17,B26,B34,B6,B27,B7,B18,B35,B8,B28,B19,B29,B36,
 07/20  01:00:00,27.70241598,17.80869599,47.48985596,191.4739294,33.92502245,2.462129876,15.58015169,18.17684364,36.35368727,36.35368727,6.924511861,10.38676779,15.58015169,20.77353558,7.790075844,13.84902372,15.58015169,24.23579151,13.84902372,24.23579151,10.38676779,28.2750901,17.31127965,6.409933852,11.39543796,6.409933852,4.700145528,5.640174634,4.357402205,3.112430146,1.280145263,14.88440431,4.750559641,1.922133032,2.745904331,2.883199548,
 07/20  02:00:00,26.59587949,17.0973511,45.59293627,191.4739294,30.01626716,2.385280025,15.58015169,18.17684364,36.35368727,36.35368727,6.924511861,10.38676779,15.58015169,20.77353558,7.790075844,13.84902372,15.58015169,24.23579151,13.84902372,24.23579151,10.38676779,28.2750901,17.31127965,7.948402099,14.13049262,7.948402099,6.081288871,7.297546646,4.357402205,3.112430146,1.280145263,14.88440431,4.750559641,1.922133032,2.745904331,2.883199548,
 07/20  03:00:00,26.04261124,16.74167866,44.64447642,191.4739294,30.01626716,2.385280025,15.58015169,18.17684364,36.35368727,36.35368727,6.924511861,10.38676779,15.58015169,20.77353558,7.790075844,13.84902372,15.58015169,24.23579151,13.84902372,24.23579151,10.38676779,28.2750901,17.31127965,6.303801196,11.20675768,6.303801196,4.600258156,5.520309788,4.357402205,3.112430146,1.280145263,14.88440431,4.750559641,1.922133032,2.745904331,2.883199548,
 07/20  04:00:00,26.50045826,17.03600888,45.42935702,191.4739294,30.01626716,2.386976293,15.58015169,18.17684364,36.35368727,36.35368727,6.924511861,10.38676779,15.58015169,20.77353558,7.790075844,13.84902372,15.58015169,24.23579151,13.84902372,24.23579151,10.38676779,28.2750901,17.31127965,11.23760391,19.9779625,11.23760391,9.043350301,10.85202036,4.357402205,3.112430146,1.280145263,14.88440431,4.750559641,1.922133032,2.745904331,2.883199548,
 07/20  05:00:00,31.07729939,19.97826389,53.27537039,191.397753,37.54051119,3.55025214,15.8396393,18.47957918,36.95915836,36.95915836,7.039839687,10.55975953,15.8396393,21.11951906,7.919819648,14.07967937,15.8396393,24.6394389,14.07967937,24.6394389,10.55975953,28.74601206,17.59959922,23.46060707,41.7077459,23.46060707,20.08965615,24.10758738,4.357402205,3.112430146,1.280145263,14.88440431,4.750559641,1.902462142,2.71780306,2.853693213,
 07/20  06:00:00,39.81127643,25.59296342,68.24790245,191.1467176,89.29965082,8.273006863,19.31155338,22.53014561,45.06029122,45.06029122,8.582912613,12.87436892,19.31155338,25.74873784,9.65577669,17.16582523,19.31155338,30.04019415,17.16582523,30.04019415,12.87436892,35.04689317,21.45728153,26.02934228,46.27438628,26.02934228,22.24420159,26.69304191,4.357402205,3.112430146,1.280145263,14.88440431,4.750559641,1.926509278,2.752156111,2.889763917,
 07/20  07:00:00,47.1295108,30.29754266,80.79344709,331.660352,115.5876837,10.71653528,24.90861961,29.06005621,58.12011241,58.12011241,11.0704976,16.6057464,24.90861961,33.21149281,12.4543098,22.14099521,24.90861961,38.74674161,22.14099521,38.74674161,16.6057464,45.20453188,27.67624401,29.33124857,52.1444419,29.33124857,25.21980319,30.26376383,10.83841452,7.741724654,1.280145263,14.88440431,4.750559641,3.767560519,5.382229312,5.651340778,
 07/20  08:00:00,47.6615055,30.63953925,81.705438,464.1824202,85.1005112,8.993792738,58.90059525,68.71736113,137.4347223,137.4347223,26.17804233,39.2670635,58.90059525,78.534127,29.45029763,52.35608467,58.90059525,91.62314817,52.35608467,91.62314817,39.2670635,106.8936729,65.44510584,35.2100091,62.59557172,35.2100091,30.44975133,36.53970159,18.78171331,13.41550951,6.496815432,35.37268126,11.05536874,8.398446578,11.99778083,12.59766987,
 07/20  09:00:00,46.08674366,29.62719236,79.00584628,464.175926,85.1005112,8.470172834,56.47047191,65.88221722,131.7644344,131.7644344,25.09798751,37.64698127,56.47047191,75.29396254,28.23523595,50.19597503,56.47047191,87.8429563,50.19597503,87.8429563,37.64698127,102.483449,62.74496878,40.16286853,71.40065517,40.16286853,34.91315372,41.89578446,33.45353745,23.89538389,24.32305718,36.46546478,11.43826066,8.670933888,12.38704841,13.00640083,
 07/20  10:00:00,44.65899064,28.70935112,76.55826966,464.1835462,58.94610393,5.064240455,55.90967421,65.22795324,130.4559065,130.4559065,24.84874409,37.27311614,55.90967421,74.54623228,27.9548371,49.69748819,55.90967421,86.97060433,49.69748819,86.97060433,37.27311614,101.465705,62.12186023,49.80651418,88.54491411,49.80651418,43.50199175,52.2023901,33.30314898,23.78796356,36.97130142,39.38026339,12.43299594,8.621071614,12.31581659,12.93160742,
 07/20  11:00:00,45.21225888,29.06502357,77.50672951,465.3773069,59.61307516,4.969330485,56.47047191,65.88221722,131.7644344,131.7644344,25.09798751,37.64698127,56.47047191,75.29396254,28.23523595,50.19597503,56.47047191,87.8429563,50.19597503,87.8429563,37.64698127,102.483449,62.74496878,58.73484579,104.4175036,58.73484579,49.22006938,59.06408326,33.692591,24.06613643,36.97130142,39.93779515,12.54642602,8.891360215,12.70194316,13.33704032,
 07/20  12:00:00,44.57038477,28.65239021,76.4063739,464.192575,58.94610393,4.834816329,53.71897368,62.67213596,125.3442719,125.3442719,23.87509941,35.81264912,53.71897368,71.62529824,26.85948684,47.75019883,53.71897368,83.56284795,47.75019883,83.56284795,35.81264912,97.48998927,59.68774853,51.45746733,91.47994192,51.45746733,44.98979255,53.98775106,31.95569139,22.82549385,36.97130142,39.51227769,12.47035879,5.752345043,8.217635775,8.628517564,
 07/20  13:00:00,42.9991859,27.64233379,73.71289012,464.0952114,58.94610393,4.972276844,56.93780332,66.4274372,132.8548744,132.8548744,25.30569036,37.95853555,56.93780332,75.91707109,28.46890166,50.61138073,56.93780332,88.56991627,50.61138073,88.56991627,37.95853555,103.331569,63.26422591,48.15556104,85.60988629,48.15556104,42.01419095,50.41702915,31.85743829,22.75531306,36.97130142,36.57009308,11.4612655,9.634769575,13.76395654,14.45215436,
 07/20  14:00:00,42.44591766,27.28666135,72.76443027,464.0201898,58.94610393,4.948753124,55.90967421,65.22795324,130.4559065,130.4559065,24.84874409,37.27311614,55.90967421,74.54623228,27.9548371,49.69748819,55.90967421,86.97060433,49.69748819,86.97060433,37.27311614,101.465705,62.12186023,44.85365475,79.73983066,44.85365475,39.03858936,46.84630723,32.28359498,23.0597107,36.97130142,36.49004774,11.44782325,9.526495182,13.60927883,14.28974277,
 07/20  15:00:00,44.44661144,28.57282164,76.19419104,464.0201898,58.94610393,4.90458052,55.90967421,65.22795324,130.4559065,130.4559065,24.84874409,37.27311614,55.90967421,74.54623228,27.9548371,49.69748819,55.90967421,86.97060433,49.69748819,86.97060433,37.27311614,101.465705,62.12186023,44.85365475,79.73983066,44.85365475,39.03858936,46.84630723,32.37679844,23.1262846,36.97130142,35.06399691,10.84317721,9.522198754,13.60314108,14.28329813,
 07/20  16:00:00,54.41581161,34.98159318,93.28424848,282.6474978,62.37299425,5.126790078,56.75087075,66.20934921,132.4186984,132.4186984,25.22260922,37.83391384,56.75087075,75.66782767,28.37543538,50.44521845,56.75087075,88.27913228,50.44521845,88.27913228,37.83391384,102.992321,63.05652306,49.80651418,88.54491411,49.80651418,43.50199175,52.2023901,32.80152293,23.42965924,36.97130142,35.06399691,10.84392708,9.309830361,13.29975766,13.96474554,
 07/20  17:00:00,67.28966341,43.25764076,115.3537087,282.6474978,76.57011127,7.044522328,34.93458827,40.75701965,81.51403931,81.51403931,15.52648368,23.28972552,34.93458827,46.57945103,17.46729414,31.05296735,34.93458827,54.34269287,31.05296735,54.34269287,23.28972552,63.39980835,38.81620919,49.80651418,88.54491411,49.80651418,43.50199175,52.2023901,34.05343377,24.32388127,36.97130142,22.84681632,7.424476031,3.772798463,5.38971209,5.659197694,
