Date/Time,B1,B9,B30,B2,B3,B4,B5,B10,B11,B12,B13,B14,B15,B16,B20,B21,B22,B23,B24,B25,B31,B32,B33,B17,B26,B34,B6,B27,B7,B18,B35,B8,B28,B19,B29,B36
 02/25  01:00:00,29.91548896,19.23138576,51.28369536,191.4739294,38.19189831,2.577404652,12.22809413,14.26610982,28.53221964,28.53221964,5.434708503,8.152062754,12.22809413,16.30412551,6.114047065,10.86941701,12.22809413,19.02147976,10.86941701,19.02147976,8.152062754,22.19172639,13.58677126,8.916325289,15.85124496,8.916325289,6.969895784,8.363874941,3.456419503,2.468871073,6.731321006,18.97869435,5.97929735,1.922133032,2.745904331,2.883199548
 02/25  02:00:00,27.70241598,17.80869599,47.48985596,191.4739294,38.19189831,2.577404652,12.22809413,14.26610982,28.53221964,28.53221964,5.434708503,8.152062754,12.22809413,16.30412551,6.114047065,10.86941701,12.22809413,19.02147976,10.86941701,19.02147976,8.152062754,22.19172639,13.58677126,6.409933852,11.39543796,6.409933852,4.700145528,5.640174634,3.456419503,2.468871073,1.322641325,18.97869435,5.97929735,1.922133032,2.745904331,2.883199548
 02/25  03:00:00,26.59587949,17.0973511,45.59293627,191.4739294,30.01626716,2.385280025,12.22809413,14.26610982,28.53221964,28.53221964,5.434708503,8.152062754,12.22809413,16.30412551,6.114047065,10.86941701,12.22809413,19.02147976,10.86941701,19.02147976,8.152062754,22.19172639,13.58677126,7.948402099,14.13049262,7.948402099,6.081288871,7.297546646,3.456419503,2.468871073,1.280145263,18.97869435,5.97929735,1.922133032,2.745904331,2.883199548
 02/25  04:00:00,26.04261124,16.74167866,44.64447642,191.4739294,30.01626716,2.385280025,12.22809413,14.26610982,28.53221964,28.53221964,5.434708503,8.152062754,12.22809413,16.30412551,6.114047065,10.86941701,12.22809413,19.02147976,10.86941701,19.02147976,8.152062754,22.19172639,13.58677126,6.303801196,11.20675768,6.303801196,4.600258156,5.520309788,3.456419503,2.468871073,1.280145263,18.97869435,5.97929735,1.922133032,2.745904331,2.883199548
 02/25  05:00:00,26.50045826,17.03600888,45.42935702,191.4739294,30.01626716,2.386976293,12.22809413,14.26610982,28.53221964,28.53221964,5.434708503,8.152062754,12.22809413,16.30412551,6.114047065,10.86941701,12.22809413,19.02147976,10.86941701,19.02147976,8.152062754,22.19172639,13.58677126,11.23760391,19.9779625,11.23760391,9.043350301,10.85202036,3.456419503,2.468871073,1.280145263,18.97869435,5.97929735,1.922133032,2.745904331,2.883199548
 02/25  06:00:00,31.07729939,19.97826389,53.27537039,191.4739294,30.01626716,3.42485603,12.22809413,14.26610982,28.53221964,28.53221964,5.434708503,8.152062754,12.22809413,16.30412551,6.114047065,10.86941701,12.22809413,19.02147976,10.86941701,19.02147976,8.152062754,22.19172639,13.58677126,22.74981023,40.44410707,22.74981023,19.49180629,23.39016754,3.456419503,2.468871073,1.280145263,18.97869435,5.97929735,1.922133032,2.745904331,2.883199548
 02/25  07:00:00,39.81127643,25.59296342,68.24790245,191.4739294,68.10179842,6.315886645,19.85020622,23.15857392,46.31714785,46.31714785,8.822313876,13.23347081,19.85020622,26.46694163,9.925103111,17.64462775,19.85020622,30.87809857,17.64462775,30.87809857,13.23347081,36.02444833,22.05578469,25.70423106,45.69641077,25.70423106,22.0949189,26.51390268,3.456419503,2.468871073,1.280145263,18.97869435,5.97929735,2.095977547,2.994253639,3.143966321
 02/25  08:00:00,47.05063506,30.24683682,80.65823153,240.361366,88.27800186,8.858599692,19.9810483,23.31122301,46.62244602,46.62244602,8.880465909,13.32069886,19.9810483,26.64139773,9.990524148,17.76093182,19.9810483,31.08163068,17.76093182,31.08163068,13.32069886,36.26190246,22.20116477,28.96990175,51.50204755,28.96990175,24.88406429,29.86087714,7.623256882,5.445183487,1.280145263,18.97869435,5.97929735,4.544754998,6.492507141,6.817132498
 02/25  09:00:00,46.8083723,30.09109648,80.24292395,333.344157,109.731966,12.33342823,27.16218746,31.68921871,63.37843742,63.37843742,12.07208332,18.10812498,27.16218746,36.21624995,13.58109373,24.14416664,27.16218746,42.25229161,24.14416664,42.25229161,18.10812498,49.29434021,30.18020829,35.2100091,62.59557172,35.2100091,30.44975133,36.53970159,16.28112341,11.62937387,6.282212346,18.97869435,5.97929735,9.404459547,13.43494221,14.10668932
 02/25  10:00:00,45.23361047,29.07874959,77.54333224,333.3642604,95.96052538,10.01327934,27.7749885,32.40415325,64.80830651,64.80830651,12.34443934,18.516659,27.7749885,37.03331801,13.88749425,24.68887867,27.7749885,43.20553767,24.68887867,43.20553767,18.516659,50.40646062,30.86109834,40.16286853,71.40065517,40.16286853,34.91315372,41.89578446,28.26023283,20.18588059,23.65589544,18.97869435,5.97929735,9.180627204,13.11518172,13.77094081
 02/25  11:00:00,43.80585744,28.16090836,75.09575562,333.3822674,64.08586378,5.20122903,27.47318527,32.05204948,64.10409895,64.10409895,12.21030456,18.31545684,27.47318527,36.63091369,13.73659263,24.42060912,27.47318527,42.73606597,24.42060912,42.73606597,18.31545684,49.85874363,30.52576141,49.34353976,87.72184846,49.34353976,43.11872625,51.7424715,36.43435861,26.02454186,36.97130142,18.97869435,5.97929735,8.923251545,12.74750221,13.38487732
 02/25  12:00:00,44.35912569,28.5165808,76.04421546,334.5199175,60.75414776,4.975272975,28.12744924,32.81535745,65.6307149,65.6307149,12.50108855,18.75163283,28.12744924,37.50326566,14.06372462,25.00217711,28.12744924,43.75380993,25.00217711,43.75380993,18.75163283,51.04611159,31.25272138,58.27187136,103.594438,58.27187136,48.83680388,58.60416466,35.55509302,25.39649501,36.97130142,19.42913554,6.074129701,8.866013302,12.66573329,13.29901995
 02/25  13:00:00,43.80585744,28.16090836,75.09575562,333.3715041,60.09387868,4.874373712,19.01156588,22.18016019,44.36032038,44.36032038,8.449584835,12.67437725,19.01156588,25.3487545,9.505782939,16.89916967,19.01156588,29.57354692,16.89916967,29.57354692,12.67437725,34.50247141,21.12396209,50.9944929,90.65687627,50.9944929,44.60652705,53.52783246,36.09436909,25.78169221,36.97130142,18.97869435,5.97929735,5.224106831,7.463009758,7.836160246
 02/25  14:00:00,42.14605271,27.09389103,72.25037607,333.5332185,60.11432256,5.038252768,18.26516628,21.30936066,42.61872132,42.61872132,8.11785168,12.17677752,18.26516628,24.35355504,9.13258314,16.23570336,18.26516628,28.41248088,16.23570336,28.41248088,12.17677752,33.14789436,20.2946292,47.69258661,84.78682064,47.69258661,41.63092546,49.95711055,36.72452191,26.23180136,36.97130142,18.97869435,5.97929735,9.010235207,12.87176458,13.51535281
 02/25  15:00:00,41.59278446,26.73821858,71.30191622,333.8003085,60.17245636,5.071884941,18.18877664,21.22023942,42.44047883,42.44047883,8.08390073,12.1258511,18.18877664,24.25170219,9.094388322,16.16780146,18.18877664,28.29365256,16.16780146,28.29365256,12.1258511,33.00926132,20.20975183,44.39068032,78.91676501,44.39068032,38.65532386,46.38638863,37.1780132,26.55572371,36.97130142,18.97869435,5.97929735,9.300802202,13.28686029,13.9512033
 02/25  16:00:00,43.59347825,28.02437887,74.731677,334.1438588,60.34671493,5.107298574,18.29261964,21.34138959,42.68277917,42.68277917,8.130053175,12.19507976,18.29261964,24.39015953,9.146309822,16.26010635,18.29261964,28.45518611,16.26010635,28.45518611,12.19507976,33.19771713,20.32513294,44.43787366,79.00066429,44.43787366,38.91030642,46.6923677,37.94327446,27.1023389,36.97130142,18.97869435,5.97929735,9.803047885,14.00435412,14.70457183
 02/25  17:00:00,53.56267842,34.43315041,91.82173443,334.4715341,64.69809419,5.531405013,18.73453043,21.85695217,43.71390434,43.71390434,8.32645797,12.48968696,18.73453043,24.97937391,9.367265217,16.65291594,18.73453043,29.1426029,16.65291594,29.1426029,12.48968696,33.99970338,20.81614493,50.14730501,89.15076447,50.14730501,44.35472185,53.22566622,38.81429462,27.72449616,36.97130142,18.97869435,5.97929735,9.851306152,14.0732945,14.77695923
 02/25  18:00:00,67.21078766,43.20693493,115.2184931,334.5337171,74.09463357,6.891972241,14.63761763,17.07722057,34.15444113,34.15444113,6.505607835,9.758411752,14.63761763,19.5168235,7.318808814,13.01121567,14.63761763,22.76962742,13.01121567,22.76962742,9.758411752,26.56456533,16.26401959,50.9429729,90.56528515,50.9429729,45.09693698,54.11632437,39.02636404,27.87597431,36.97130142,18.97869435,5.97929735,5.037595783,7.196565404,7.556393674
 02/25  19:00:00,68.00639098,43.7183942,116.5823845,191.4739294,106.570472,7.481404238,14.63239885,17.07113199,34.14226398,34.14226398,6.503288378,9.754932567,14.63239885,19.50986513,7.316199425,13.00657676,14.63239885,22.76150932,13.00657676,22.76150932,9.754932567,26.55509421,16.25822094,47.65186781,84.71443166,47.65186781,42.13072107,50.55686528,25.3287021,18.09193007,24.83026036,18.97869435,5.97929735,1.944803131,2.778290187,2.917204697
 02/25  20:00:00,63.43481961,40.77952689,108.745405,191.4739294,113.7671241,7.23194473,12.22809413,14.26610982,28.53221964,28.53221964,5.434708503,8.152062754,12.22809413,16.30412551,6.114047065,10.86941701,12.22809413,19.02147976,10.86941701,19.02147976,8.152062754,22.19172639,13.58677126,44.34996152,78.84437603,44.34996152,39.15511947,46.98614337,16.6538996,11.89564257,11.83740538,18.97869435,5.97929735,1.922133032,2.745904331,2.883199548
 02/25  21:00:00,61.22174663,39.35683712,104.9515656,191.4739294,121.6000163,8.147659183,12.22809413,14.26610982,28.53221964,28.53221964,5.434708503,8.152062754,12.22809413,16.30412551,6.114047065,10.86941701,12.22809413,19.02147976,10.86941701,19.02147976,8.152062754,22.19172639,13.58677126,41.04805523,72.97432041,41.04805523,36.17951788,43.41542146,16.6538996,11.89564257,11.76472176,18.97869435,5.97929735,1.922133032,2.745904331,2.883199548
 02/25  22:00:00,56.60478741,36.38879191,97.03677842,191.4739294,125.0269066,8.117711264,12.22809413,14.26610982,28.53221964,28.53221964,5.434708503,8.152062754,12.22809413,16.30412551,6.114047065,10.86941701,12.22809413,19.02147976,10.86941701,19.02147976,8.152062754,22.19172639,13.58677126,37.74614894,67.10426478,37.74614894,33.20391629,39.84469954,7.979097105,5.699355075,11.76472176,18.97869435,5.97929735,1.922133032,2.745904331,2.883199548
 02/25  23:00:00,46.45530646,29.86412558,79.63766821,191.4739294,99.7166914,5.302581276,12.22809413,14.26610982,28.53221964,28.53221964,5.434708503,8.152062754,12.22809413,16.30412551,6.114047065,10.86941701,12.22809413,19.02147976,10.86941701,19.02147976,8.152062754,22.19172639,13.58677126,20.52587851,36.49045068,20.52587851,17.56757972,21.08109566,3.489965008,2.492832148,11.76472176,18.97869435,5.97929735,1.922133032,2.745904331,2.883199548
 02/25  24:00:00,37.45208633,24.07634121,64.20357657,192.6523295,67.65373389,2.771225547,12.22809413,14.26610982,28.53221964,28.53221964,5.434708503,8.152062754,12.22809413,16.30412551,6.114047065,10.86941701,12.22809413,19.02147976,10.86941701,19.02147976,8.152062754,22.19172639,13.58677126,13.41477655,23.84849165,13.41477655,8.752045058,10.50245407,3.395711316,2.425508083,11.76472176,19.42913554,6.074129701,1.922133032,2.745904331,2.883199548
