Date/Time,B1,B9,B30,B2,B3,B4,B5,B10,B11,B12,B13,B14,B15,B16,B20,B21,B22,B23,B24,B25,B31,B32,B33,B17,B26,B34,B6,B27,B7,B18,B35,B8,B28,B19,B29,B36
 04/03  01:00:00,8.701399891,5.593757073,14.91668553,22.57656784,0.640719425,0.046500616,9.92952421,11.58444491,23.16888982,23.16888982,4.413121871,6.619682807,9.92952421,13.23936561,4.964762105,8.826243742,9.92952421,15.44592655,8.826243742,15.44592655,6.619682807,18.02024764,11.03280468,4.086332831,7.264591699,4.086332831,2.996342774,3.595611329,-1.160558087,-0.828970062,-0.345773502,10.06722409,3.171710613,0,0,0
 04/03  02:00:00,8.512696276,5.472447606,14.59319362,26.65558639,0.795885872,0.063246061,10.23794553,11.94426978,23.88853956,23.88853956,4.550198012,6.825297017,10.23794553,13.65059403,5.118972763,9.100396023,10.23794553,15.92569304,9.100396023,15.92569304,6.825297017,18.57997521,11.37549503,5.861946548,10.42123831,5.861946548,4.484950543,5.381940651,-1.14303078,-0.816450557,-0.340551464,10.19322732,3.211408329,0,0,0
 04/03  03:00:00,9.272747943,5.961052249,15.89613933,27.33542281,0.789097932,0.062706649,10.15660646,11.8493742,23.69874841,23.69874841,4.514047316,6.771070973,10.15660646,13.54214195,5.07830323,9.028094631,10.15660646,15.7991656,9.028094631,15.7991656,6.771070973,18.43235987,11.28511829,4.649053382,8.26498379,4.649053382,3.39269039,4.071228468,-1.163687963,-0.831205688,-0.346706009,10.71462002,3.37567474,0,0,0
 04/03  04:00:00,10.11835679,6.504657937,17.3457545,17.47579514,0.113697982,0.009041577,9.800713307,11.43416552,22.86833105,22.86833105,4.355872581,6.533808871,9.800713307,13.06761774,4.900356653,8.711745161,9.800713307,15.24555403,8.711745161,15.24555403,6.533808871,17.7864797,10.88968145,7.023502441,12.48622656,7.023502441,5.652093938,6.782512726,-1.136145053,-0.811532181,-0.338499949,8.576909946,2.702182456,0,0,0
 04/03  05:00:00,10.66516411,6.856176928,18.28313847,22.85650049,-0.145054741,-0.013714413,9.681183793,11.29471443,22.58942885,22.58942885,4.302748352,6.454122529,9.681183793,12.90824506,4.840591896,8.605496705,9.681183793,15.05961923,8.605496705,15.05961923,6.454122529,17.56955577,10.75687088,14.7219661,26.17238418,14.7219661,12.62576918,15.15092302,-1.11548787,-0.79677705,-0.332345405,8.264074325,2.60362261,0,0,0
 04/03  06:00:00,15.20066918,9.77185876,26.05829003,23.968482,0,0,12.01401964,14.01635624,28.03271249,28.03271249,5.339564284,8.009346426,12.01401964,16.01869285,6.007009819,10.67912857,12.01401964,18.68847499,10.67912857,18.68847499,8.009346426,21.80322083,13.34891071,15.45912518,27.4828892,15.45912518,13.31619314,15.97943177,-1.14303078,-0.816450557,-0.340551464,8.081586879,2.546129366,0,0,0
 04/03  07:00:00,16.81666635,10.81071408,28.82857089,40.38886625,0,0,15.44550039,18.01975046,36.03950091,36.03950091,6.86466684,10.29700026,15.44550039,20.59400052,7.722750195,13.72933368,15.44550039,24.02633394,13.72933368,24.02633394,10.29700026,28.03072293,17.1616671,17.23210854,30.63485962,17.23210854,14.81663437,17.77996125,-2.603678208,-1.859770149,-0.309778742,8.259741804,2.601632392,0,0,0
 04/03  08:00:00,17.33145654,11.14165064,29.71106836,55.7101348,0,0,36.50824804,42.59295605,85.1859121,85.1859121,16.22588802,24.33883203,36.50824804,48.67766406,18.25412402,32.45177604,36.50824804,56.79060807,32.45177604,56.79060807,24.33883203,66.25570941,40.56472005,23.76675614,42.25201091,23.76675614,20.55358215,24.66429857,-3.935304404,-2.810931717,-1.37878844,29.82775323,9.121698129,0,0,0
 04/03  09:00:00,17.78878477,11.43564735,30.49505961,56.2224568,0,0,34.8538021,40.66276911,81.32553823,81.32553823,15.49057871,23.23586806,34.8538021,46.47173613,17.42690105,30.98115742,34.8538021,54.21702548,30.98115742,54.21702548,23.23586806,63.2531964,38.72644677,24.09772112,42.8403931,24.09772112,20.94789223,25.13747068,-7.187159898,-5.133685641,-5.262199871,28.3299126,8.71755612,0,0,0
 04/03  10:00:00,14.63258595,9.406662395,25.08443305,51.25147719,0.442799155,0.038020367,34.42263554,40.15974146,80.31948293,80.31948293,15.29894913,22.94842369,34.42263554,45.89684739,17.21131777,30.59789826,34.42263554,53.54632195,30.59789826,53.54632195,22.94842369,62.47070894,38.24737282,33.61939707,59.76781702,33.61939707,29.36384443,35.23661332,-8.997405097,-6.426717927,-9.776065278,27.90180382,8.633399377,0,0,0
