Date/Time,B1,B9,B30,B2,B3,B4,B5,B10,B11,B12,B13,B14,B15,B16,B20,B21,B22,B23,B24,B25,B31,B32,B33,B17,B26,B34,B6,B27,B7,B18,B35,B8,B28,B19,B29,B36
 07/20  01:00:00,14.34589399,9.222360421,24.59296112,42.76022528,5.764056973,0.418330066,12.53741065,14.62697909,29.25395818,29.25395818,5.57218251,8.358273765,12.53741065,16.71654753,6.268705324,11.14436502,12.53741065,19.50263878,11.14436502,19.50263878,8.358273765,22.75307858,13.93045627,1.713767037,3.046696954,1.713767037,1.256636131,1.507963357,-2.470491429,-1.764636735,-0.725796645,5.535137854,1.766614367,0,0,0
 07/20  02:00:00,12.94174493,8.319693169,22.18584845,28.07869852,4.860045062,0.386209529,12.93884981,15.09532478,30.19064956,30.19064956,5.750599915,8.625899873,12.93884981,17.25179975,6.469424905,11.50119983,12.93884981,20.1270997,11.50119983,20.1270997,8.625899873,23.48161632,14.37649979,3.643017629,6.476475784,3.643017629,2.787257399,3.344708879,-2.314869921,-1.653478515,-0.680077171,6.248348894,1.994245349,0,0,0
 07/20  03:00:00,12.55625899,8.071880781,21.52501542,34.20571093,4.984928381,0.396133537,12.67480955,14.78727781,29.57455561,29.57455561,5.633248688,8.449873033,12.67480955,16.89974607,6.337404774,11.26649738,12.67480955,19.71637041,11.26649738,19.71637041,8.449873033,23.00243214,14.08312172,2.407701846,4.280358837,2.407701846,1.757043046,2.108451655,-2.528849494,-1.806321067,-0.742941447,5.444846431,1.737796634,0,0,0
 07/20  04:00:00,14.35441489,9.227838145,24.60756839,39.73084035,5.301030733,0.421552574,12.57203582,14.66737512,29.33475025,29.33475025,5.587571476,8.381357214,12.57203582,16.76271443,6.28601791,11.17514295,12.57203582,19.55650017,11.17514295,19.55650017,8.381357214,22.81591686,13.96892869,3.082537182,5.480066102,3.082537182,2.480641229,2.976769474,-2.256511856,-1.611794183,-0.662932368,4.911306203,1.567510029,0,0,0
 07/20  05:00:00,16.60230726,10.67291181,28.46109817,34.90770422,6.846514906,0.647483303,12.99947141,15.16604998,30.33209997,30.33209997,5.777542851,8.666314276,12.99947141,17.33262855,6.499735707,11.5550857,12.99947141,20.22139998,11.5550857,20.22139998,8.666314276,23.59163331,14.44385713,8.553346326,15.20594902,8.553346326,7.324353805,8.789224566,-2.314869921,-1.653478515,-0.680077171,4.476265709,1.428660951,0,0,0
 07/20  06:00:00,21.32746952,13.71051612,36.56137631,32.30921238,14.77563943,1.368862759,15.40382354,17.97112747,35.94225494,35.94225494,6.846143798,10.2692157,15.40382354,20.53843139,7.701911772,13.6922876,15.40382354,23.96150329,13.6922876,23.96150329,10.2692157,27.95508717,17.11535949,9.761003355,17.35289485,9.761003355,8.341575598,10.00989072,-2.314869921,-1.653478515,-0.680077171,4.334756344,1.383496317,0,0,0
 07/20  07:00:00,28.05328024,18.03425158,48.09133755,78.11060109,20.62899767,1.912585961,19.27345316,22.48569536,44.97139072,44.97139072,8.565979184,12.84896878,19.27345316,25.69793755,9.636726582,17.13195837,19.27345316,29.98092714,17.13195837,29.98092714,12.84896878,34.97774834,21.41494796,12.83242125,22.81319333,12.83242125,11.03366389,13.24039667,-4.619229044,-3.299449317,-0.545585719,4.371947572,1.395366402,0,0,0
 07/20  08:00:00,26.38404769,16.96117351,45.22979603,93.11374917,15.94560645,1.685201152,43.94735723,51.27191677,102.5438335,102.5438335,19.53215877,29.29823815,43.94735723,58.59647631,21.97367861,39.06431754,43.94735723,68.36255569,39.06431754,68.36255569,29.29823815,79.75631497,48.83039692,12.26885877,21.81130448,12.26885877,10.61015627,12.73218752,-4.76657118,-3.4046937,-1.648813007,8.102793243,2.532444923,0,0,0
 07/20  09:00:00,21.60316109,13.88774642,37.03399044,95.05755959,17.42370691,1.734205903,37.09867688,43.2817897,86.56357939,86.56357939,16.48830084,24.73245126,37.09867688,49.46490251,18.54933844,32.97660167,37.09867688,57.70905293,32.97660167,57.70905293,24.73245126,67.32722842,41.22075209,7.601115835,13.51309482,7.601115835,6.607569012,7.929082815,-0.714355008,-0.510253577,-0.519385961,6.206002464,1.946660334,0,0,0
 07/20  10:00:00,24.10167749,15.49393553,41.3171614,85.89866688,12.28581328,1.055511874,30.84115993,35.98135325,71.9627065,71.9627065,13.70718219,20.56077329,30.84115993,41.12154657,15.42057996,27.41436438,30.84115993,47.97513767,27.41436438,47.97513767,20.56077329,55.97099395,34.26795548,10.87450178,19.3324476,10.87450178,9.498004313,11.39760518,-0.594699089,-0.424785063,-0.660201811,7.963020824,2.51405646,0,0,0
 07/20  11:00:00,25.63373606,16.47883033,43.94354753,74.94662088,13.18151467,1.098807644,30.4235814,35.49417831,70.98835661,70.98835661,13.52159174,20.2823876,30.4235814,40.56477521,15.2117907,27.04318347,30.4235814,47.32557107,27.04318347,47.32557107,20.2823876,55.21316625,33.80397934,11.28867703,20.06875917,11.28867703,9.45996298,11.35195558,0.561543183,0.401102274,0.616188357,9.057626555,2.845446052,0,0,0
 07/20  12:00:00,22.46205899,14.43989507,38.50638685,89.15090457,12.61551062,1.034736356,28.98436888,33.81509703,67.63019406,67.63019406,12.88194173,19.32291259,28.98436888,38.64582518,14.49218444,25.76388345,28.98436888,45.08679604,25.76388345,45.08679604,19.32291259,52.60126205,32.20485431,12.55037371,22.31177548,12.55037371,10.97292072,13.16750487,0.532594856,0.380424897,0.616188357,9.798589594,3.092505294,0,0,0
 07/20  13:00:00,18.75242274,12.0551289,32.14701041,99.82567453,13.51145923,1.139731235,31.87311239,37.18529779,74.37059557,74.37059557,14.16582773,21.24874159,31.87311239,42.49748318,15.93655619,28.33165546,31.87311239,49.58039705,28.33165546,49.58039705,21.24874159,57.84379656,35.41456932,11.44271532,20.34260502,11.44271532,9.983404121,11.98008495,0,0,0,9.097314389,2.851147667,0,0,0
 07/20  14:00:00,25.58124502,16.44508608,43.85356288,96.46174018,13.13907991,1.103076512,31.2933382,36.50889457,73.01778913,73.01778913,13.90815031,20.86222547,31.2933382,41.72445093,15.6466691,27.81630062,31.2933382,48.67852609,27.81630062,48.67852609,20.86222547,56.79161377,34.77037578,12.25503006,21.7867201,12.25503006,10.66622305,12.79946766,0.538059916,0.384328512,0.616188357,9.78136002,3.06865262,0,0,0
 07/20  15:00:00,23.61226233,15.1793115,40.47816399,93.05822928,13.70415857,1.140247526,31.10126899,36.28481382,72.56962764,72.56962764,13.82278622,20.73417932,31.10126899,41.46835865,15.55063449,27.64557243,31.10126899,48.37975176,27.64557243,48.37975176,20.73417932,56.44304372,34.55696554,13.39710277,23.81707159,13.39710277,11.66023141,13.99227769,0,0,0,10.0188898,3.098237711,0,0,0
 07/20  16:00:00,30.12303857,19.36481051,51.63949469,57.83020273,14.56421203,1.197115171,32.75341007,38.21231175,76.42462349,76.42462349,14.55707114,21.83560671,32.75341007,43.67121342,16.37670503,29.11414228,32.75341007,50.949749,29.11414228,50.949749,21.83560671,59.44137383,36.39267785,17.41580956,30.96143921,17.41580956,15.21131153,18.25357384,0.512523796,0.366088426,0.577676585,11.3671813,3.515425966,0,0,0
