Date/Time,B1,B9,B30,B2,B3,B4,B5,B10,B11,B12,B13,B14,B15,B16,B20,B21,B22,B23,B24,B25,B31,B32,B33,B17,B26,B34,B6,B27,B7,B18,B35,B8,B28,B19,B29,B36
 02/25  01:00:00,0,0,0,26.83154405,0.962704683,0.06496874,7.345339208,8.56956241,17.13912482,17.13912482,3.264595204,4.896892806,7.345339208,9.793785611,3.672669604,6.529190407,7.345339208,11.42608321,6.529190407,11.42608321,4.896892806,13.33043042,8.161488009,0,0,0,0,0,-0.830870073,-0.593478623,-1.618106011,8.337069303,2.626619907,0,0,0
 02/25  02:00:00,0,0,0,26.75356282,1.083512608,0.07312154,8.565040133,9.992546822,19.98509364,19.98509364,3.806684504,5.710026755,8.565040133,11.42005351,4.282520066,7.613369007,8.565040133,13.32339576,7.613369007,13.32339576,5.710026755,15.54396172,9.516711259,0,0,0,0,0,-0.830870073,-0.593478623,-0.317942626,8.811536662,2.776102341,0,0,0
 02/25  03:00:00,0,0,0,21.85474152,0.865467209,0.068775429,8.587408598,10.01864336,20.03728673,20.03728673,3.816626043,5.724939065,8.587408598,11.44987813,4.293704299,7.633252087,8.587408598,13.35819115,7.633252087,13.35819115,5.724939065,15.58455634,9.541565109,0,0,0,0,0,-0.814252671,-0.581609051,-0.301572682,8.629049216,2.718609097,0,0,0
 02/25  04:00:00,0,0,0,21.85474152,1.368238156,0.108728748,8.516397598,9.935797198,19.8715944,19.8715944,3.785065599,5.677598399,8.516397598,11.3551968,4.258198799,7.570131198,8.516397598,13.2477296,7.570131198,13.2477296,5.677598399,15.45568453,9.462663998,0,0,0,0,0,-0.79763527,-0.569739478,-0.295418138,8.44656177,2.661115853,0,0,0
 02/25  05:00:00,0,0,0,24.37413533,1.468435279,0.116774021,8.650648735,10.09242352,20.18484705,20.18484705,3.844732771,5.767099156,8.650648735,11.53419831,4.325324367,7.689465542,8.650648735,13.4565647,7.689465542,13.4565647,5.767099156,15.69932548,9.611831927,0,0,0,0,0,-0.880722277,-0.629087341,-0.32619086,6.841490119,2.155432981,0,0,0
 02/25  06:00:00,0,0,0,26.24968405,1.177788152,0.134385626,8.46506689,9.875911372,19.75182274,19.75182274,3.762251951,5.643377927,8.46506689,11.28675585,4.232533445,7.524503902,8.46506689,13.16788183,7.524503902,13.16788183,5.643377927,15.3625288,9.405629878,0,0,0,0,0,-0.716922177,-0.512087269,-0.265524636,5.876572841,1.851432758,0,0,0
 02/25  07:00:00,0,0,0,18.87254998,4.60677546,0.42724087,13.07497764,15.25414058,30.50828115,30.50828115,5.811101172,8.716651758,13.07497764,17.43330352,6.537488818,11.62220234,13.07497764,20.3388541,11.62220234,20.3388541,8.716651758,23.72866312,14.52775293,0,0,0,0,0,-0.553280338,-0.395200241,-0.204917026,4.982374656,1.569712807,0,0,0
 02/25  08:00:00,0,0,0,25.00653963,11.37347134,1.141315249,12.4896978,14.5713141,29.1426282,29.1426282,5.5509768,8.3264652,12.4896978,16.6529304,6.2448489,11.1019536,12.4896978,19.4284188,11.1019536,19.4284188,8.3264652,22.6664886,13.877442,0,0,0,0,0,0.165922861,0.118516329,0.027862811,3.235662496,1.019405647,0,0,0
 02/25  09:00:00,0,0,0,36.1550201,18.31153931,2.058142802,14.98488783,17.48236913,34.96473827,34.96473827,6.659950146,9.989925219,14.98488783,19.97985044,7.492443914,13.31990029,14.98488783,23.30982551,13.31990029,23.30982551,9.989925219,27.19479643,16.64987537,0,0,0,0,0,4.444711451,3.174793894,1.715030373,2.678983547,0.844022193,0,0,0
 02/25  10:00:00,0,0,0,32.91427359,18.25749183,1.905130938,13.08699747,15.26816372,30.53632744,30.53632744,5.816443321,8.724664982,13.08699747,17.44932996,6.543498737,11.63288664,13.08699747,20.35755163,11.63288664,20.35755163,8.724664982,23.7504769,14.5411083,0,0,0,0,0,8.621383849,6.158131321,7.216733001,3.208492866,1.010845769,0,0,0
