bus,d,t,V_V,P_gen_kW,P_dem_kW,Q_dem_kVar,n_cap
B0,0,1,15000.0,0.0,0.0,0.0,-0.0
B0,0,2,15000.0,0.0,0.0,0.0,-0.0
B0,0,3,15000.0,0.0,0.0,0.0,-0.0
B0,0,4,15000.0,0.0,0.0,0.0,-0.0
B0,0,5,15000.0,0.0,0.0,0.0,-0.0
B0,0,6,15000.0,0.0,0.0,0.0,-0.0
B0,0,7,15000.0,0.0,0.0,0.0,-0.0
B0,0,8,15000.0,0.0,0.0,0.0,-0.0
B0,0,9,15000.0,0.0,0.0,0.0,-0.0
B0,0,10,15000.0,0.0,0.0,0.0,-0.0
B0,0,11,15000.0,0.0,0.0,0.0,-0.0
B0,0,12,15000.0,0.0,0.0,0.0,-0.0
B0,0,13,15000.0,0.0,0.0,0.0,-0.0
B0,0,14,15000.0,0.0,0.0,0.0,-0.0
B0,0,15,15000.0,0.0,0.0,0.0,-0.0
B0,0,16,15000.0,0.0,0.0,0.0,-0.0
B0,0,17,15000.0,0.0,0.0,0.0,-0.0
B0,0,18,15000.0,0.0,0.0,0.0,-0.0
B0,0,19,15000.0,0.0,0.0,0.0,-0.0
B0,0,20,15000.0,0.0,0.0,0.0,-0.0
B0,0,21,15000.0,0.0,0.0,0.0,-0.0
B0,0,22,15000.0,0.0,0.0,0.0,-0.0
B0,0,23,15000.0,0.0,0.0,0.0,-0.0
B0,0,24,15000.0,0.0,0.0,0.0,-0.0
B1,0,1,14991.668387778529,0.0,29.915488960000005,0.0,-0.0
B1,0,2,14991.709646922734,0.0,27.70241598,0.0,-0.0
B1,0,3,14992.043559655658,0.0,26.59587949,0.0,-0.0
B1,0,4,14992.056485511344,0.0,26.04261124,0.0,-0.0
B1,0,5,14992.030332161601,0.0,26.50045826,0.0,-0.0
B1,0,6,14991.89103524882,0.0,31.077299390000004,0.0,-0.0
B1,0,7,14990.314634444776,0.0,39.81127643,0.0,-0.0
B1,0,8,14988.109338844873,0.0,47.05063506,0.0,-0.0
B1,0,9,14984.604295939242,0.0,46.8083723,0.0,-0.0
B1,0,10,14985.092722130174,0.0,45.23361047,0.0,-0.0
B1,0,11,14986.152578417992,0.0,43.80585744,0.0,-0.0
B1,0,12,14986.162370632352,0.0,44.35912569,0.0,-0.0
B1,0,13,14986.53677263827,0.0,43.80585744,0.0,-0.0
B1,0,14,14986.58421532772,0.0,42.14605271,0.0,-0.0
B1,0,15,14986.585305532799,0.0,41.59278446,0.0,-0.0
B1,0,16,14986.520556677297,0.0,43.59347825,0.0,-0.0
B1,0,17,14986.081279355583,0.0,53.56267842,0.0,-0.0
B1,0,18,14985.54038205837,0.0,67.21078766,0.0,-0.0
B1,0,19,14988.45391581402,0.0,68.00639098,0.0,-0.0
B1,0,20,14988.518914355267,0.0,63.43481961,0.0,-0.0
B1,0,21,14988.338227967233,0.0,61.221746630000005,0.0,-0.0
B1,0,22,14988.323969442461,0.0,56.60478741000001,0.0,-0.0
B1,0,23,14989.397564308152,0.0,46.45530646,0.0,-0.0
B1,0,24,14990.508373566165,0.0,37.45208633,0.0,-0.0
B2,0,1,14992.00500276037,0.0,191.4739294,26.83154405,-0.0
B2,0,2,14992.040181328355,0.0,191.4739294,26.75356282,-0.0
B2,0,3,14992.346097168556,0.0,191.4739294,21.85474152,-0.0
B2,0,4,14992.357218688741,0.0,191.4739294,21.85474152,-0.0
B2,0,5,14992.330931400267,0.0,191.4739294,24.374135330000005,-0.0
B2,0,6,14992.207441204584,0.0,191.4739294,26.249684049999995,-0.0
B2,0,7,14990.804544525305,0.0,191.4739294,18.87254998,-0.0
B2,0,8,14988.69126304939,0.0,240.361366,25.00653963,-0.0
B2,0,9,14985.279000233497,0.0,333.344157,36.1550201,-0.0
B2,0,10,14985.721976439021,0.0,333.3642604,32.91427359,-0.0
B2,0,11,14986.676879058094,0.0,333.38226740000005,32.46168691,-0.0
B2,0,12,14986.680421426543,0.0,334.5199175000001,34.78416896,-0.0
B2,0,13,14987.019355312546,0.0,333.3715041,35.62994611,-0.0
B2,0,14,14987.05788352925,0.0,333.53321850000003,37.44142369,-0.0
B2,0,15,14987.058207792554,0.0,333.8003085,37.01206777,-0.0
B2,0,16,14987.002211670126,0.0,334.1438588,35.92083892,-0.0
B2,0,17,14986.617408976494,0.0,334.4715341,33.81607683,-0.0
B2,0,18,14986.142830689776,0.0,334.5337171,33.51928968,-0.0
B2,0,19,14989.155240973656,0.0,191.4739294,18.2552985,-0.0
B2,0,20,14989.204233316173,0.0,191.4739294,22.34358042,-0.0
B2,0,21,14989.04006926644,0.0,191.4739294,21.702778089999995,-0.0
B2,0,22,14989.019694593955,0.0,191.4739294,24.22217189,-0.0
B2,0,23,14989.979737273885,0.0,191.4739294,22.57656784,-0.0
B2,0,24,14990.963465415416,0.0,192.6523295,27.19986941,-0.0
B3,0,1,14991.552265302229,0.0,38.19189831,0.962704683,-0.0
B3,0,2,14991.590741082402,0.0,38.19189831,1.083512608,-0.0
B3,0,3,14991.950191450043,0.0,30.01626716,0.865467209,-0.0
B3,0,4,14991.961828007059,0.0,30.01626716,1.3682381559999999,-0.0
B3,0,5,14991.936824316559,0.0,30.01626716,1.4684352790000004,-0.0
B3,0,6,14991.803339683018,0.0,30.01626716,1.177788152,-0.0
B3,0,7,14990.10883257892,0.0,68.10179842,4.60677546,-0.0
B3,0,8,14987.836510826337,0.0,88.27800186,11.37347134,-0.0
B3,0,9,14984.251461475536,0.0,109.731966,18.31153931,-0.0
B3,0,10,14984.782306720124,0.0,95.96052538,18.25749183,-0.0
B3,0,11,14985.950894401574,0.0,64.08586378,13.334242969999998,-0.0
B3,0,12,14985.973387267908,0.0,60.75414776,12.123462820000002,-0.0
B3,0,13,14986.348834410035,0.0,60.09387868000001,12.76465526,-0.0
B3,0,14,14986.395031331978,0.0,60.114322560000005,12.30770207,-0.0
B3,0,15,14986.394169164456,0.0,60.17245635999999,12.88554196,-0.0
B3,0,16,14986.330922304405,0.0,60.34671493,12.9598711,-0.0
B3,0,17,14985.888266005946,0.0,64.69809419,12.7626683,-0.0
B3,0,18,14985.330862889326,0.0,74.09463357,13.35932069,-0.0
B3,0,19,14988.138237894587,0.0,106.57047200000001,14.94886521,-0.0
B3,0,20,14988.188058528567,0.0,113.7671241,6.679155260000001,-0.0
B3,0,21,14987.980082810955,0.0,121.6000163,5.86017116,-0.0
B3,0,22,14987.950207793023,0.0,125.02690659999999,5.234582042,-0.0
B3,0,23,14989.097365906782,0.0,99.7166914,3.16546992,-0.0
B3,0,24,14990.30368683829,0.0,67.65373389,1.691943895,-0.0
B5,0,1,14991.700545958618,0.0,12.22809413,7.345339208,-0.0
B5,0,2,14991.739456726638,0.0,12.22809413,8.565040133,-0.0
B5,0,3,14992.072194625822,0.0,12.22809413,8.587408598,-0.0
B5,0,4,14992.084538470657,0.0,12.22809413,8.516397598,-0.0
B5,0,5,14992.05886582361,0.0,12.22809413,8.650648735,-0.0
B5,0,6,14991.924425699024,0.0,12.22809413,8.46506689,-0.0
B5,0,7,14990.357297064353,0.0,19.850206220000004,13.07497764,-0.0
B5,0,8,14988.159691229663,0.0,19.9810483,12.489697800000002,-0.0
B5,0,9,14984.65440291715,0.0,27.16218746,14.98488783,-0.0
B5,0,10,14985.141155774485,0.0,27.7749885,13.08699747,-0.0
B5,0,11,14986.199492176202,0.0,27.47318527,12.10963873,-0.0
B5,0,12,14986.209872567973,0.0,28.12744924,11.7287727,-0.0
B5,0,13,14986.583686144299,0.0,19.01156588,8.101924671,-0.0
