i,j,type,length_km,z,R_pu,cost_line
B0,B21,70 Al,0.34205262752974147,1.0,0.013866666666666666,78000
B0,B21,120 Al,0.34205262752974147,0.0,0.009155555555555556,103000
B0,B2,70 Al,1.222620137246234,1.0,0.013866666666666666,78000
B0,B2,120 Al,1.222620137246234,0.0,0.009155555555555556,103000
B1,B5,70 Al,0.050990195135927854,1.0,0.013866666666666666,78000
B1,B5,120 Al,0.050990195135927854,0.0,0.009155555555555556,103000
B2,B5,70 Al,0.1360147050873545,1.0,0.013866666666666666,78000
B2,B5,120 Al,0.1360147050873545,0.0,0.009155555555555556,103000
B2,B23,70 Al,1.2557467897629682,0.0,0.013866666666666666,78000
B2,B23,120 Al,1.2557467897629682,-0.0,0.009155555555555556,103000
B2,B21,70 Al,1.2700393694685217,0.0,0.013866666666666666,78000
B2,B21,120 Al,1.2700393694685217,0.0,0.009155555555555556,103000
B3,B8,70 Al,0.10440306508910545,1.0,0.013866666666666666,78000
B3,B8,120 Al,0.10440306508910545,-0.0,0.009155555555555556,103000
B3,B23,70 Al,1.2319902597017558,0.0,0.013866666666666666,78000
B3,B23,120 Al,1.2319902597017558,-0.0,0.009155555555555556,103000
B5,B8,70 Al,0.050000000000000044,1.0,0.013866666666666666,78000
B5,B8,120 Al,0.050000000000000044,0.0,0.009155555555555556,103000
B9,B11,70 Al,0.13000000000000012,1.0,0.013866666666666666,78000
B9,B11,120 Al,0.13000000000000012,0.0,0.009155555555555556,103000
B9,B30,70 Al,0.6412487816752558,1.0,0.013866666666666666,78000
B9,B30,120 Al,0.6412487816752558,0.0,0.009155555555555556,103000
B11,B16,70 Al,0.08062257748298547,1.0,0.013866666666666666,78000
B11,B16,120 Al,0.08062257748298547,0.0,0.009155555555555556,103000
B11,B0,70 Al,1.054229576515476,0.0,0.013866666666666666,78000
B11,B0,120 Al,1.054229576515476,0.0,0.009155555555555556,103000
B11,B22,70 Al,1.1260550608207398,-0.0,0.013866666666666666,78000
B11,B22,120 Al,1.1260550608207398,-0.0,0.009155555555555556,103000
B12,B16,70 Al,0.09055385138137427,1.0,0.013866666666666666,78000
B12,B16,120 Al,0.09055385138137427,0.0,0.009155555555555556,103000
B20,B26,70 Al,0.05656854249492385,1.0,0.013866666666666666,78000
B20,B26,120 Al,0.05656854249492385,-0.0,0.009155555555555556,103000
B20,B32,70 Al,0.5813776741499453,1.0,0.013866666666666666,78000
B20,B32,120 Al,0.5813776741499453,-0.0,0.009155555555555556,103000
B21,B29,70 Al,0.06324555320336764,1.0,0.013866666666666666,78000
B21,B29,120 Al,0.06324555320336764,0.0,0.009155555555555556,103000
B22,B29,70 Al,0.08485281374238562,1.0,0.013866666666666666,78000
B22,B29,120 Al,0.08485281374238562,-0.0,0.009155555555555556,103000
B23,B25,70 Al,0.09486832980505147,1.0,0.013866666666666666,78000
B23,B25,120 Al,0.09486832980505147,0.0,0.009155555555555556,103000
B25,B29,70 Al,0.060827625302982254,1.0,0.013866666666666666,78000
B25,B29,120 Al,0.060827625302982254,0.0,0.009155555555555556,103000
B25,B27,70 Al,0.11704699910719614,1.0,0.013866666666666666,78000
B25,B27,120 Al,0.11704699910719614,0.0,0.009155555555555556,103000
B26,B27,70 Al,0.05830951894845275,1.0,0.013866666666666666,78000
B26,B27,120 Al,0.05830951894845275,0.0,0.009155555555555556,103000
B30,B36,70 Al,0.09219544457292896,1.0,0.013866666666666666,78000
B30,B36,120 Al,0.09219544457292896,0.0,0.009155555555555556,103000
B31,B36,70 Al,0.1523154621172783,1.0,0.013866666666666666,78000
B31,B36,120 Al,0.1523154621172783,0.0,0.009155555555555556,103000
B32,B36,70 Al,0.08944271909999167,1.0,0.013866666666666666,78000
B32,B36,120 Al,0.08944271909999167,0.0,0.009155555555555556,103000
B32,B0,70 Al,0.8319855767980597,0.0,0.013866666666666666,78000
B32,B0,120 Al,0.8319855767980597,0.0,0.009155555555555556,103000
