i,j,d,t,P_kW,Q_kVar,I_A,y_pos,y_neg
B0,B21,0,1,271.3984890366829,102.7344518532038,11.170376975792939,1.0,-0.0
B0,B21,0,2,259.00175632004505,119.78729126369775,10.984384188440162,1.0,-0.0
B0,B21,0,3,260.7847774231125,120.09948446748483,11.051751307809056,1.0,-0.0
B0,B21,0,4,254.77802535089543,119.10581105506225,10.82589913169991,1.0,-0.0
B0,B21,0,5,269.96355016854164,120.98453601075211,11.387544099840529,1.0,0.0
B0,B21,0,6,313.76832013047846,118.39589556390635,12.90928277216542,1.0,-0.0
B0,B21,0,7,449.90824144154664,182.8981784162009,18.695617762696127,1.0,-0.0
B0,B21,0,8,485.1481348951886,174.7261146347907,19.85020164666399,1.0,-0.0
B0,B21,0,9,617.0954581006264,209.6674316209938,25.08987636775723,1.0,-0.0
B0,B21,0,10,635.458101529918,183.1324378869012,25.458607341233378,1.0,-0.0
B0,B21,0,11,653.284094929104,169.46618529832435,25.981739835257148,1.0,0.0
B0,B21,0,12,686.3217093643804,164.15057913441976,27.16657159733811,1.0,-0.0
B0,B21,0,13,528.746948207505,113.37345593135291,20.816890679139227,1.0,-0.0
B0,B21,0,14,516.0345465464025,111.93682750801572,20.32686014109296,1.0,-0.0
B0,B21,0,15,505.0675341295941,111.15100687586809,19.907902877978,1.0,-0.0
B0,B21,0,16,513.1022774888143,113.3668343943762,20.228392794018657,1.0,-0.0
B0,B21,0,17,559.6445476182643,128.90383703240838,22.108019102637062,1.0,-0.0
B0,B21,0,18,522.720414772397,106.11267532973154,20.532700345397153,1.0,-0.0
B0,B21,0,19,506.0510301371239,118.30780245259739,20.005819591145308,1.0,-0.0
B0,B21,0,20,452.11201528241617,107.39075278231856,17.888123354266156,1.0,-0.0
B0,B21,0,21,437.4482614445705,119.20396409487633,17.453422746248606,1.0,-0.0
B0,B21,0,22,417.11458063385675,130.5622819083354,16.824819588481965,1.0,0.0
B0,B21,0,23,343.78071356931036,128.80112347963288,14.131720375366555,1.0,-0.0
B0,B21,0,24,299.31807400327546,129.35276765405456,12.55164455325704,1.0,-0.0
B0,B2,0,1,290.7899626058217,43.477768548202725,11.319963807847857,1.0,-0.0
B0,B2,0,2,288.5776634718311,45.21485436601002,11.245844744672302,1.0,-0.0
B0,B2,0,3,279.2966975499401,39.937870812047414,10.862181038781832,1.0,-0.0
B0,B2,0,4,278.74280616016983,40.18704947414204,10.842455754760445,1.0,-0.0
B0,B2,0,5,279.1996829179964,41.33568352354362,10.866301722992121,1.0,-0.0
B0,B2,0,6,283.7730890160663,41.7696368427115,11.04311483766017,1.0,-0.0
B0,B2,0,7,338.2208428635663,41.5393175488511,13.119985145037697,1.0,-0.0
B0,B2,0,8,414.65664172230555,52.109179919702314,16.091782040221705,1.0,-0.0
B0,B2,0,9,536.0340778878258,72.13560143878126,20.82825752708823,1.0,0.0
B0,B2,0,10,521.3203768484598,67.47174567522295,20.242664994566233,1.0,-0.0
B0,B2,0,11,487.73396964639426,61.18959550197341,18.92837035557981,1.0,-0.0
B0,B2,0,12,487.19296946480017,62.01383883546891,18.91186183272086,1.0,-0.0
B0,B2,0,13,475.26218382312925,59.76872212769355,18.44508716084949,1.0,-0.0
B0,B2,0,14,473.03948611286205,61.30081911751219,18.367577698111223,1.0,-0.0
B0,B2,0,15,472.7428567616963,61.903126644637354,18.358942990193782,1.0,-0.0
B0,B2,0,16,475.3603007436522,60.93267377368299,18.454325297779825,1.0,-0.0
B0,B2,0,17,490.45406512963325,60.29017396931316,19.028073497471738,1.0,-0.0
B0,B2,0,18,509.4611733644295,58.64144271426655,19.74784039393369,1.0,-0.0
B0,B2,0,19,399.6726208583669,46.14599473088716,15.49123244295624,1.0,-0.0
B0,B2,0,20,399.89254208931084,41.80778169478829,15.481401331837692,1.0,-0.0
B0,B2,0,21,405.51242528340595,43.265574365468325,15.702604411879827,1.0,-0.0
B0,B2,0,22,404.32241263569955,47.32709769578622,15.674465590435247,1.0,-0.0
B0,B2,0,23,368.86069191872576,44.07891725112126,14.303269813286308,1.0,-0.0
B0,B2,0,24,329.42047211507713,46.97661195090643,12.811526348391007,1.0,0.0
B1,B5,0,1,-29.915552290009586,0.0,1.1523563037463873,0.0,1.0
B1,B5,0,2,-27.702470320952624,0.0,1.0670877132590695,0.0,1.0
B1,B5,0,3,-26.595929579410328,0.0,1.024437662659088,0.0,1.0
B1,B5,0,4,-26.042659237620647,0.0,1.00313989922944,0.0,1.0
B1,B5,0,5,-26.500507995026307,0.0,1.0207684755204642,0.0,1.0
B1,B5,0,6,-31.077367848880108,0.0,1.1971575295555927,0.0,1.0
B1,B5,0,7,-39.81138868981645,0.0,1.5335820348679634,0.0,1.0
B1,B5,0,8,-47.05079199094606,0.0,1.8126897932330222,0.0,1.0
B1,B5,0,9,-46.80852757348143,0.0,1.8037525180110845,0.0,1.0
B1,B5,0,10,-45.23375546978253,0.0,1.7430295089770695,0.0,1.0
B1,B5,0,11,-43.80599353176379,0.0,1.687957506690269,0.0,1.0
B1,B5,0,12,-44.359265113817294,0.0,1.709212055818278,0.0,1.0
B1,B5,0,13,-43.80599342694743,0.0,1.6878634469336569,0.0,1.0
B1,B5,0,14,-42.14617856288564,0.0,1.6239050946648763,0.0,1.0
B1,B5,0,15,-41.59290701557478,0.0,1.6026103290216227,0.0,1.0
B1,B5,0,16,-43.593612902204,0.0,1.6796732640270755,0.0,1.0
B1,B5,0,17,-53.56288170971597,0.0,2.063799293398205,0.0,1.0
B1,B5,0,18,-67.21110772937554,0.0,2.5897295229780615,0.0,1.0
B1,B5,0,19,-68.00671856504522,0.0,2.6198812459508494,0.0,1.0
B1,B5,0,20,-63.43510462170159,0.0,2.443757251194368,0.0,1.0
B1,B5,0,21,-61.222012130005815,0.0,2.3585327681040757,0.0,1.0
