storage,d,t,state_kWh,p_charge_kW,p_discharge_kW
B0,0,1,12500.0,0.0,49.999983314656305
B0,0,2,12539.999947196464,49.99994596726016,0.0
B0,0,3,12579.999898925513,49.999950709257014,0.0
B0,0,4,12619.999852986492,49.99995407553793,0.0
B0,0,5,12659.999799432047,49.99994506579645,0.0
B0,0,6,12699.999692566826,49.99988033339652,0.0
B0,0,7,12699.99971954759,0.0,0.0
B0,0,8,12699.999708339612,0.0,0.0
B0,0,9,12637.501058849499,0.0,49.99892595599436
B0,0,10,12575.001882807841,0.0,49.99934715302121
B0,0,11,12522.499827672409,0.0,42.001650342245654
B0,0,12,12460.000293428277,0.0,49.99963746873635
B0,0,13,12460.000240786587,0.0,0.0
B0,0,14,12460.00019757761,0.0,0.0
B0,0,15,12460.000159874773,0.0,0.0
B0,0,16,12460.000116736253,0.0,0.0
B0,0,17,12460.000018923254,0.0,0.0
B0,0,18,12459.999942776816,0.0,0.0
B0,0,19,12459.999930125681,0.0,0.0
B0,0,20,12459.999931002536,0.0,0.0
B0,0,21,12459.999934405601,0.0,0.0
B0,0,22,12459.99994454117,0.0,0.0
B0,0,23,12460.000223083749,0.0,0.0
B0,0,24,12500.0,49.99973632481725,0.0
