bus,d,t,P_sup,Q_sup
B0,0,1,512.3760131549915,146.3045434423432
B0,0,2,597.7625385999945,165.09258868780077
B0,0,3,590.25391434128,160.12313652190412
B0,0,4,583.6914345502908,159.37758836697736
B0,0,5,599.3394369681872,162.40735663373303
B0,0,6,647.7375904048673,160.261316213975
B0,0,7,788.4384466325572,224.59002561481464
B0,0,8,900.2287352184184,227.04408801920133
B0,0,9,1103.8308764262486,282.1478789992721
B0,0,10,1107.4553068339346,250.93786196092532
B0,0,11,1099.6436520598427,230.96526279848777
B0,0,12,1124.1632641009132,226.4834173183998
B0,0,13,1004.5402893798785,173.40309582480594
B0,0,14,989.5958963626289,173.49398933677026
B0,0,15,978.3180948980057,173.30651239211645
B0,0,16,988.9848446639669,174.55684889618504
B0,0,17,1050.66641477523,189.47536875737558
B0,0,18,1032.7651241987537,165.04130574088572
B0,0,19,906.1267933170025,164.6526244921774
B0,0,20,852.382889646902,149.3846235370288
B0,0,21,843.3440825350162,162.65749626201563
B0,0,22,821.8114645227458,178.07325265936123
B0,0,23,712.9401956492464,173.0271977511769
B0,0,24,678.976522686162,176.4470211627811
