i,j,type,length_km,z,R_pu,cost_line
B31,B35,2 Al,0.07211102550927985,-0.0,0.48000000000000004,35000
B31,B35,4/0 Al,0.07211102550927985,1.0,0.33749999999999997,42000
B31,B33,2 Al,0.19104973174542816,-0.0,0.48000000000000004,35000
B31,B33,4/0 Al,0.19104973174542816,1.0,0.33749999999999997,42000
B31,B34,2 Al,0.226715680975093,-0.0,0.48000000000000004,35000
B31,B34,4/0 Al,0.226715680975093,-0.0,0.33749999999999997,42000
B33,B34,2 Al,0.04123105625617669,-0.0,0.48000000000000004,35000
B33,B34,4/0 Al,0.04123105625617669,1.0,0.33749999999999997,42000
B33,B35,2 Al,0.12041594578792307,-0.0,0.48000000000000004,35000
B33,B35,4/0 Al,0.12041594578792307,-0.0,0.33749999999999997,42000
B34,B35,2 Al,0.15811388300841925,-0.0,0.48000000000000004,35000
B34,B35,4/0 Al,0.15811388300841925,-0.0,0.33749999999999997,42000
