i,j,d,t,P_kW,Q_kVar,I_A,y_pos,y_neg
B31,B35,0,1,6.731321005997298,-1.61810601099405,9.99740626648208,1.0,-0.0
B31,B35,0,2,1.3226413250019553,-0.3179426259977233,1.962123595987116,1.0,-0.0
B31,B35,0,3,1.2801452630018861,-0.3015726819977846,1.8970230024693802,1.0,-0.0
B31,B35,0,4,1.2801452630019694,-0.295418137997748,1.895007621653038,1.0,-0.0
B31,B35,0,5,1.2801452629979893,-0.32619085999478353,1.9051031568509023,1.0,-0.0
B31,B35,0,6,1.2801452630020194,-0.26552463599770343,1.8857833470970338,1.0,-0.0
B31,B35,0,7,1.2801452630018861,-0.20491702599780004,1.8699957879204387,1.0,-0.0
B31,B35,0,8,-6.800354737001957,0.02786281100222998,9.810220210795096,-0.0,1.0
B31,B35,0,9,-13.122287654001884,1.7150303730013583,19.08271758935694,-0.0,1.0
B31,B35,0,10,-16.672104560002065,7.216733001002123,26.195230974394033,-0.0,1.0
B31,B35,0,11,-26.92019858000199,12.213733500002094,42.59951605228067,-0.0,1.0
B31,B35,0,12,-38.48719858000196,11.799399950001993,57.95524128804866,-0.0,1.0
B31,B35,0,13,-28.434698580001953,11.997460500002038,44.46818265957274,-0.0,1.0
B31,B35,0,14,-18.81219858000203,12.22132203000204,32.34895895653221,-0.0,1.0
B31,B35,0,15,-5.410198580001963,11.817612420002105,18.761840440433495,-0.0,1.0
B31,B35,0,16,13.817801420001867,12.446026730002064,26.88767895066913,1.0,-0.0
B31,B35,0,17,31.378801420001874,11.071245810002056,48.17581208441964,1.0,-0.0
B31,B35,0,18,36.971301420002504,9.407875807002714,55.25490159122643,1.0,-0.0
B31,B35,0,19,24.83026036000194,5.080401956002106,36.66465562130186,1.0,-0.0
B31,B35,0,20,11.837405380001776,0.9494585570022668,17.157961023157956,1.0,-0.0
B31,B35,0,21,11.764721760001912,-0.9615397599979231,17.053119987459244,1.0,-0.0
B31,B35,0,22,11.764721760002045,-3.1663967059978675,17.599463981832326,1.0,-0.0
B31,B35,0,23,11.764721760001828,-3.342250500997782,17.667044539172682,1.0,-0.0
B31,B35,0,24,11.764721759997965,-3.3199688309952524,17.65829403771412,1.0,-0.0
B31,B33,0,1,22.51062986222806,1.1657778123596463,32.69921874495187,1.0,-0.0
B31,B33,0,2,20.000591410037597,2.518924289830262,29.23218676461803,1.0,-0.0
B31,B33,0,3,21.541158416563107,2.5449732667745435,31.465072812226868,1.0,-0.0
B31,B33,0,4,19.894330659224938,2.464804085950484,29.068683957591723,1.0,-0.0
B31,B33,0,5,24.836376685219662,2.618666123171761,36.254165393056155,1.0,-0.0
B31,B33,0,6,36.386333370180544,2.433960817322293,53.073879904647185,1.0,-0.0
B31,B33,0,7,47.82438875164262,7.564409786493949,70.69449745317219,1.0,-0.0
B31,B33,0,8,43.17198270348152,6.923803993371813,63.76691758011303,1.0,-0.0
B31,B33,0,9,46.10656079157681,9.71868897507483,68.78956191600417,1.0,-0.0
B31,B33,0,10,30.850918882886777,7.629344860679675,46.22500428687277,1.0,-0.0
B31,B33,0,11,16.2087174994125,6.586648161195135,25.362706365157326,1.0,-0.0
B31,B33,0,12,14.387828747146948,6.21518045208162,22.709845347717874,1.0,-0.0
B31,B33,0,13,6.9565754613445305,2.141151570626143,10.52435054770556,1.0,-0.0
B31,B33,0,14,12.418190347077687,2.0105119426025535,18.210862760541048,1.0,-0.0
B31,B33,0,15,22.406324322767833,1.9328363804102227,32.62720704630541,1.0,-0.0
B31,B33,0,16,41.80064756189101,2.1108002152405168,60.98436710700336,1.0,-0.0
B31,B33,0,17,65.62016784653432,3.3770472109504777,96.276216049574,1.0,-0.0
B31,B33,0,18,67.46441258733282,1.5713475568443547,98.8975461675111,1.0,-0.0
B31,B33,0,19,64.13464479681285,2.5219360978085166,94.00258835409025,1.0,-0.0
B31,B33,0,20,58.129989472601025,1.6381179433812314,85.04274676893012,1.0,-0.0
B31,B33,0,21,54.79988503069886,2.5610958040125724,80.17487770630925,1.0,-0.0
B31,B33,0,22,51.47207654757692,3.4493944081078665,75.34409984146096,1.0,-0.0
B31,B33,0,23,34.15307594004819,3.25449984794509,49.910712171014886,1.0,-0.0
B31,B33,0,24,27.01869304543386,3.2858742590614245,39.53365227833281,1.0,-0.0
B31,B34,0,1,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,2,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,3,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,4,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,5,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,6,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,7,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,8,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,9,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,10,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,11,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,12,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,13,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,14,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,15,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,16,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,17,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,18,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,19,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,20,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,21,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,22,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,23,0.0,0.0,0.0,-0.0,-0.0
B31,B34,0,24,0.0,0.0,0.0,-0.0,-0.0
B33,B34,0,1,8.916325289002941,0.0,13.006753342345007,1.0,-0.0
B33,B34,0,2,6.409933852002448,0.0,9.342087777088821,1.0,-0.0
B33,B34,0,3,7.9484020990023385,0.0,11.593377946114565,1.0,-0.0
B33,B34,0,4,6.303801196002451,0.0,9.186836960199912,1.0,-0.0
B33,B34,0,5,11.237603910001647,0.0,16.41700505980985,1.0,-0.0
B33,B34,0,6,22.74981023000246,0.0,33.42571444668781,1.0,-0.0
B33,B34,0,7,25.70423106000254,0.0,38.02137525054292,1.0,-0.0
B33,B34,0,8,28.969901750001533,0.0,42.759366471654765,1.0,-0.0
B33,B34,0,9,35.21000910000256,0.0,52.09395885535679,1.0,-0.0
B33,B34,0,10,40.16286853000253,0.0,58.989469893643786,1.0,-0.0
B33,B34,0,11,49.343539760002486,0.0,72.01172531784539,1.0,-0.0
B33,B34,0,12,58.27187136000242,0.0,85.00133097592753,1.0,-0.0
B33,B34,0,13,50.994492900002435,0.0,74.04197463946868,1.0,-0.0
B33,B34,0,14,47.692586610002444,0.0,69.400685702469,1.0,-0.0
B33,B34,0,15,44.390680320002424,0.0,64.8711537088216,1.0,-0.0
B33,B34,0,16,44.43787366000251,0.0,65.51681758984135,1.0,-0.0
B33,B34,0,17,50.1473050100026,0.0,74.81101151921479,1.0,-0.0
B33,B34,0,18,50.94297290000287,0.0,76.03212296495393,1.0,-0.0
B33,B34,0,19,47.651867810002464,0.0,71.01306809706907,1.0,-0.0
B33,B34,0,20,44.34996152000247,0.0,65.87841746003242,1.0,-0.0
B33,B34,0,21,41.04805523000238,0.0,60.88283790428728,1.0,-0.0
B33,B34,0,22,37.74614894000243,0.0,55.90201092708983,1.0,-0.0
B33,B34,0,23,20.525878510002368,0.0,30.13055914469915,1.0,-0.0
B33,B34,0,24,13.414776550001617,0.0,19.622196405650527,1.0,-0.0
B33,B35,0,1,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,2,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,3,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,4,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,5,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,6,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,7,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,8,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,9,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,10,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,11,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,12,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,13,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,14,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,15,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,16,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,17,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,18,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,19,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,20,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,21,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,22,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,23,0.0,0.0,0.0,-0.0,-0.0
B33,B35,0,24,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,1,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,2,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,3,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,4,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,5,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,6,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,7,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,8,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,9,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,10,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,11,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,12,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,13,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,14,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,15,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,16,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,17,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,18,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,19,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,20,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,21,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,22,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,23,0.0,0.0,0.0,-0.0,-0.0
B34,B35,0,24,0.0,0.0,0.0,-0.0,-0.0
