storage,t,state_kWh,p_charge_kW,p_discharge_kW
B33, 02/25  01:00:00,25.0,6.976553272586283e-07,10.0
B33, 02/25  02:00:00,34.49998062205951,9.99998008461314,4.3540682370980855e-07
B33, 02/25  03:00:00,43.999878430747934,9.99989318538297,6.003262648342085e-07
B33, 02/25  04:00:00,53.499861954988354,9.99998430667282,3.986734942423253e-07
B33, 02/25  05:00:00,61.64704254809704,8.575980966981591,4.930875495162797e-07
B33, 02/25  06:00:00,61.64704282805836,2.1550501278414014e-06,1.5429426314439626e-06
B33, 02/25  07:00:00,51.12073988404477,2.9935512904426135e-07,9.999988811529644
B33, 02/25  08:00:00,47.71800605866987,8.315362211062498e-07,3.23259557110337
B33, 02/25  09:00:00,41.06627848693556,7.931317563782969e-07,6.3191427781606055
B33, 02/25  10:00:00,44.94766560561471,4.085672109138439,5.898576514072048e-07
B33, 02/25  11:00:00,54.44766459037591,9.9999993276282,2.3830559114963987e-07
B33, 02/25  12:00:00,63.94766339106984,9.999999654858202,2.2178828099333026e-07
B33, 02/25  13:00:00,73.44766326593673,9.999999742419552,2.1205498383064063e-07
B33, 02/25  14:00:00,82.94766245389714,9.9999993648132,2.2665874355907e-07
B33, 02/25  15:00:00,92.44755128959413,9.999883483756442,5.162955453570876e-07
B33, 02/25  16:00:00,85.45792244148178,5.123912726550533e-07,6.640148172206243
B33, 02/25  17:00:00,74.9316067930012,8.172708104852755e-08,9.999999647514322
B33, 02/25  18:00:00,64.40529164552923,7.996108505679842e-08,9.999999666238953
B33, 02/25  19:00:00,53.87897592637361,8.941144600025387e-08,9.99999954388774
B33, 02/25  20:00:00,43.352662369657885,1.2956964150496916e-07,9.999998815631063
B33, 02/25  21:00:00,32.8263486669189,1.534804511177673e-07,9.999998111527184
B33, 02/25  22:00:00,22.300039239458364,2.27270082692297e-07,9.999994618707161
B33, 02/25  23:00:00,22.300010143946174,9.888334499130211e-07,2.810365219112808e-05
B33, 02/25  24:00:00,25.0,2.842095209970984,5.637476790707067e-07
B35, 02/25  01:00:00,25.0,1.0694500035546284e-06,10.0
B35, 02/25  02:00:00,30.360639825371077,5.642779077239446,2.831060745063882e-07
B35, 02/25  03:00:00,34.26120585649167,4.105859382186063,2.9430949248464144e-07
B35, 02/25  04:00:00,39.75891101163806,5.787057717244893,2.7633759552165817e-07
B35, 02/25  05:00:00,41.82116837193262,2.170797064322151,3.073201042519401e-07
B35, 02/25  06:00:00,41.82123600462212,7.033659316430764e-05,4.5096128705900005e-07
B35, 02/25  07:00:00,40.93418315639942,3.043572986829968e-07,0.8427014796100057
B35, 02/25  08:00:00,41.41321235961157,0.5042365974911008,3.0488990238182576e-07
B35, 02/25  09:00:00,45.3797179485923,4.17527148234767,2.87017505648975e-07
B35, 02/25  10:00:00,54.87970358258368,9.999983194524999,1.9512412109582831e-07
B35, 02/25  11:00:00,64.3796991207777,9.999998233109693,1.4853642810612933e-07
B35, 02/25  12:00:00,73.87969649051657,9.999998909071241,1.393594959678482e-07
B35, 02/25  13:00:00,83.37969527004682,9.999998866401342,1.3811457374161523e-07
B35, 02/25  14:00:00,92.87969311294908,9.999998179577963,1.4552683048576796e-07
B35, 02/25  15:00:00,99.99996331299181,7.495021370260168,1.7215070872875177e-07
B35, 02/25  16:00:00,91.17140403832353,2.2291230688309826e-07,8.387131625029992
B35, 02/25  17:00:00,80.6450892316879,1.5086202298141847e-07,9.999999823804401
B35, 02/25  18:00:00,70.11877477525638,1.4571012924965837e-07,9.999999932208851
B35, 02/25  19:00:00,59.59246212033616,1.5891608874130602e-07,9.999999572828623
B35, 02/25  20:00:00,49.06614726119165,1.9757640289177518e-07,9.999995502846064
B35, 02/25  21:00:00,38.53984497385638,2.1482733656415184e-07,9.999987636595051
B35, 02/25  22:00:00,28.013827030937932,2.8514988040177226e-07,9.99971800879954
B35, 02/25  23:00:00,25.00000756742896,2.6441979386661595e-07,2.8631284754764055
B35, 02/25  24:00:00,25.0,3.2818432448231007e-07,7.485243863077883e-06
