bus,d,t,P_sup,Q_sup
B31,0,1,37.62241760427941,4.574627986034432
B31,0,2,29.651911756585687,8.011581571185257
B31,0,3,31.17792755609625,8.08482584454468
B31,0,4,29.50116793621744,7.946426008884933
B31,0,5,34.54006506663765,8.214167404471356
B31,0,6,46.40002672918178,8.14293769803112
B31,0,7,63.36947361540822,16.6635086910147
B31,0,8,50.5388202351022,15.760162973172996
B31,0,9,52.097130001563656,21.995783555492075
B31,0,10,33.18979751263243,23.852233007288955
B31,0,11,7.8780335331020845,27.029534821194932
B31,0,12,-4.979739243711873,26.04331648085402
B31,0,13,-8.626890712461547,19.64060437145459
B31,0,14,5.932694704888809,19.650236533859104
B31,0,15,29.369040467774628,19.186813978693717
B31,0,16,68.63720608894458,20.42703905526677
B31,0,17,111.58193820605865,21.781379683847597
B31,0,18,116.4499944320956,17.31867190894825
B31,0,19,100.6477965253005,14.336641817895723
B31,0,20,79.63464596152335,8.567233489380834
B31,0,21,76.06563307757695,8.047978314569281
B31,0,22,72.58428513312616,7.185816854408521
B31,0,23,54.60816229012156,6.3576699719335625
B31,0,24,47.282242659432164,6.329035487788751
