bus,d,t,V_V,P_gen_kW,P_dem_kW,Q_dem_kVar,n_cap
B1,0,1,400.0,0.0,29.91548896,0.0,0.0
B1,0,2,400.0,0.0,27.70241598,0.0,0.0
B1,0,3,400.0,0.0,26.59587949,0.0,0.0
B1,0,4,400.0,0.0,26.042611239999996,0.0,0.0
B1,0,5,400.0,0.0,26.50045826,0.0,0.0
B1,0,6,400.0,0.0,31.07729939,0.0,0.0
B1,0,7,400.0,0.0,39.81127643,0.0,0.0
B1,0,8,400.0,0.0,47.05063506,0.0,0.0
B1,0,9,400.0,0.0,46.8083723,0.0,0.0
B1,0,10,400.0,0.0,45.23361047,0.0,0.0
B1,0,11,400.0,0.0,43.80585744,0.0,0.0
B1,0,12,400.0,0.0,44.35912569,0.0,0.0
B1,0,13,400.0,0.0,43.80585744,0.0,0.0
B1,0,14,400.0,0.0,42.14605271,0.0,0.0
B1,0,15,400.0,0.0,41.59278446,0.0,0.0
B1,0,16,400.0,0.0,43.59347825,0.0,0.0
B1,0,17,400.0,0.0,53.56267842,0.0,0.0
B1,0,18,400.0,0.0,67.21078766,0.0,0.0
B1,0,19,400.0,0.0,68.00639098,0.0,0.0
B1,0,20,400.0,0.0,63.434819610000005,0.0,0.0
B1,0,21,400.0,0.0,61.221746630000005,0.0,0.0
B1,0,22,400.0,0.0,56.60478741000001,0.0,0.0
B1,0,23,400.0,0.0,46.45530646,0.0,0.0
B1,0,24,400.0,0.0,37.45208633,0.0,0.0
B4,0,1,398.6643943206296,0.0,2.577404652,0.06496874,0.0
B4,0,2,398.66292576846257,0.0,2.577404652,0.07312154,0.0
B4,0,3,398.72512219421793,0.0,2.385280025,0.068775429,0.0
B4,0,4,398.71652178701396,0.0,2.385280025,0.108728748,0.0
B4,0,5,398.7219074146271,0.0,2.386976293,0.116774021,0.0
B4,0,6,398.3656198695508,0.0,3.42485603,0.134385626,0.0
B4,0,7,397.34915127080916,0.0,6.315886644999999,0.42724087,0.0
