i,j,type,length_km,z,R_pu,cost_line
B1,B6,2 Al,0.07615773105863914,0.0,0.64,35000
B1,B6,4/0 Al,0.07615773105863914,1.0,0.44999999999999996,42000
B1,B7,2 Al,0.18,0.0,0.64,35000
B1,B7,4/0 Al,0.18,1.0,0.44999999999999996,42000
B1,B4,2 Al,0.2505992817228333,0.0,0.64,35000
B1,B4,4/0 Al,0.2505992817228333,0.0,0.44999999999999996,42000
B4,B7,2 Al,0.12649110640673508,1.0,0.64,35000
B4,B7,4/0 Al,0.12649110640673508,0.0,0.44999999999999996,42000
B4,B6,2 Al,0.26870057685088805,0.0,0.64,35000
B4,B6,4/0 Al,0.26870057685088805,0.0,0.44999999999999996,42000
B6,B7,2 Al,0.16552945357246848,0.0,0.64,35000
B6,B7,4/0 Al,0.16552945357246848,0.0,0.44999999999999996,42000
