i,j,d,t,P_kW,Q_kVar,I_A,y_pos,y_neg
B1,B6,0,1,6.969895784,0.0,126.2698808895248,1.0,0.0
B1,B6,0,2,4.700145528,0.0,125.57880111715208,1.0,0.0
B1,B6,0,3,6.081288871,0.0,124.76735613120998,1.0,0.0
B1,B6,0,4,4.600258156,0.0,119.90836321241615,1.0,0.0
B1,B6,0,5,9.043350301,0.0,126.24365750042512,1.0,0.0
B1,B6,0,6,19.49180629,0.0,109.89838973336045,1.0,0.0
B1,B6,0,7,22.0949189,0.0,42.11366008079971,1.0,0.0
B1,B6,0,8,20.84381429,0.0,30.13943010907782,1.0,0.0
B1,B6,0,9,20.747501330000002,0.0,29.999915530283342,1.0,0.0
B1,B6,0,10,14.749153719999995,0.0,21.31555954616096,1.0,0.0
B1,B6,0,11,11.17297625,0.0,16.14227870303312,1.0,0.0
B1,B6,0,12,11.107553880000003,0.0,16.047668718047785,1.0,0.0
B1,B6,0,13,11.90352704999999,0.0,17.198830713991686,1.0,0.0
B1,B6,0,14,13.739175460000002,0.0,19.85420651875211,1.0,0.0
B1,B6,0,15,17.46457386,0.0,25.245806136882706,1.0,0.0
B1,B6,0,16,27.333556420000004,0.0,39.54554152955496,1.0,0.0
B1,B6,0,17,41.55847185,0.0,60.20003751593155,1.0,0.0
B1,B6,0,18,45.09693698,0.0,65.34583993683997,1.0,0.0
B1,B6,0,19,42.13072107,0.0,61.0320132710162,1.0,0.0
B1,B6,0,20,39.15511947,0.0,56.706785216493714,1.0,0.0
B1,B6,0,21,36.17951788,0.0,131.3759049084885,1.0,0.0
B1,B6,0,22,33.20391629,0.0,179.9058273532023,1.0,0.0
B1,B6,0,23,17.56757972,0.0,130.46305044098665,1.0,0.0
B1,B6,0,24,8.752045058,0.0,136.4687607629938,1.0,0.0
B1,B7,0,1,6.036535733068387,-0.7644396229508942,12.63286878658785,1.0,0.0
B1,B7,0,2,6.036536217472984,-0.7562865618206219,12.632441104473529,1.0,0.0
B1,B7,0,3,5.844021490259331,-0.7442255592133947,11.68655444367204,1.0,0.0
B1,B7,0,4,5.844024927093467,-0.6876529865444434,11.337718849145686,1.0,0.0
