storage,t,state_kWh,p_charge_kW,p_discharge_kW
B4, 02/25  01:00:00,25.0,0.0,4.1799137541080515
B4, 02/25  02:00:00,27.316837560900105,2.4387975137472746,1.9073301817509236e-05
B4, 02/25  03:00:00,29.815992145916557,2.6307095417513024,1.913396358698039e-05
B4, 02/25  04:00:00,32.31368858087985,2.6291728071789624,1.689876499857432e-05
B4, 02/25  05:00:00,34.8169868720856,2.635067757707991,1.5328140919949283e-05
B4, 02/25  06:00:00,35.453478582031636,0.6700035688669974,1.1149968243699687e-05
B4, 02/25  07:00:00,34.66244125148126,3.4072253011233385e-05,0.7515162677570546
B4, 02/25  08:00:00,33.28825679385921,3.304863039192802e-05,1.305505114662083
B4, 02/25  09:00:00,28.989332478558715,2.765635701379766e-05,4.084003112818755
B4, 02/25  10:00:00,35.72434407743155,7.089588349379631,9.251980453219562e-05
B4, 02/25  11:00:00,45.22433660661429,9.99999672565052,4.195761599085973e-06
B4, 02/25  12:00:00,54.72433335704523,9.999998906216385,2.153440882066815e-06
B4, 02/25  13:00:00,64.2243271494061,9.99999738068698,3.5870258824406835e-06
B4, 02/25  14:00:00,73.72431333738979,9.999993087350061,6.936318730643899e-06
B4, 02/25  15:00:00,82.1648737799933,8.884946411268984,0.00013176919615076098
B4, 02/25  16:00:00,82.1648788147635,4.3979048406577256e-05,3.496157354496238e-05
B4, 02/25  17:00:00,71.63857132079289,4.0674726924353555e-06,9.99999584360863
B4, 02/25  18:00:00,61.11225712167881,1.382695378846329e-06,9.999999790613344
B4, 02/25  19:00:00,50.585948619796504,4.705501687362193e-06,9.999997377048706
B4, 02/25  20:00:00,40.05979202705988,4.607731247644446e-05,9.999890401392474
B4, 02/25  21:00:00,29.533537876828724,2.39882300419987e-05,9.999963145557194
B4, 02/25  22:00:00,23.113964953640586,2.7651172953407076e-05,6.098619285721812
B4, 02/25  23:00:00,23.11364462598505,3.010580555845183e-05,0.0003310674674524697
B4, 02/25  24:00:00,25.0,1.985651551718908,1.2920112112607118e-05
B7, 02/25  01:00:00,25.0,0.0,9.999939121312664
B7, 02/25  02:00:00,27.76380507900308,2.909295167186062,2.406333249431994e-05
B7, 02/25  03:00:00,30.462049753456316,2.840283496373526,2.4043062493078637e-05
B7, 02/25  04:00:00,33.64576547784575,3.3513028726344714,2.0957888461221263e-05
B7, 02/25  05:00:00,35.65510985446446,2.115119271645283,1.803837154692341e-05
B7, 02/25  06:00:00,35.65523470277785,0.0001578941723644405,2.3947087694094665e-05
B7, 02/25  07:00:00,32.571914720351074,3.8403563864544606e-05,2.9291886959708693
B7, 02/25  08:00:00,32.57206864247936,0.0001847705643637133,2.058294328839133e-05
B7, 02/25  09:00:00,39.333423895811165,7.117238946661877,2.0712287039852717e-05
B7, 02/25  10:00:00,48.83339035832211,9.999981468982357,1.5189845058424719e-05
B7, 02/25  11:00:00,58.33338125032703,9.999995963738867,5.063426631248012e-06
B7, 02/25  12:00:00,67.83337741857432,9.999998638077905,2.464499405300554e-06
B7, 02/25  13:00:00,77.33336974364371,9.99999670312733,4.369269573547325e-06
B7, 02/25  14:00:00,86.83335474444189,9.999992936577069,7.928041582678516e-06
B7, 02/25  15:00:00,96.3332862682028,9.999958204721578,2.7385714781838003e-05
B7, 02/25  16:00:00,91.54453853995855,4.337123912368663e-05,4.549349537871006
B7, 02/25  17:00:00,81.01823407276198,5.677858201585397e-06,9.999994421625226
B7, 02/25  18:00:00,70.49192011444809,1.3995845534758704e-06,9.99999957701024
B7, 02/25  19:00:00,59.96561336150532,4.656822475046125e-06,9.999995671591826
B7, 02/25  20:00:00,49.4393345703017,1.5885321010120257e-05,9.999979241659053
B7, 02/25  21:00:00,38.91304795851545,1.2973011945003669e-05,9.999984042833635
B7, 02/25  22:00:00,28.386760260021013,9.834100010465691e-06,9.99998224234479
B7, 02/25  23:00:00,24.9992652385116,3.385380079324699e-05,3.21815040918878
B7, 02/25  24:00:00,25.0,0.0007923341715011988,1.7058175803242957e-05
