bus,d,t,P_sup,Q_sup
B1,0,1,44.26435103590877,0.0
B1,0,2,39.76721071501039,0.0
B1,0,3,39.82812253999968,0.0
B1,0,4,37.69448005922395,0.0
B1,0,5,42.72889628552149,0.0
B1,0,6,58.47362888541988,0.0
B1,0,7,71.90071852764225,0.0
B1,0,8,72.37162574888707,1.372336665475617
B1,0,9,67.21962260408094,6.589697493215336
B1,0,10,38.08639024139332,10.708662495373911
B1,0,11,2.0457267557082672,13.840596947150003
B1,0,12,-15.016353344675842,13.578099565338416
B1,0,13,-0.03614618910550839,13.542188194278237
B1,0,14,14.786462408750054,13.634312871468405
B1,0,15,38.0490036125195,13.148272176247936
B1,0,16,79.49405645063688,14.010198112983035
B1,0,17,131.98976139862873,13.23302425791877
B1,0,18,159.5233829405834,11.911560425615084
B1,0,19,143.73687433068326,6.680752601560886
B1,0,20,126.99730447912023,2.0566742121867816
B1,0,21,123.90505419978224,0.0
B1,0,22,109.08138304573984,0.0
B1,0,23,74.26156061289227,0.0
B1,0,24,53.93232585107143,0.0
