bus,d,t,V_V,P_gen_kW,P_dem_kW,Q_dem_kVar,n_cap
B22,0,1,400.0,0.0,12.22809413,7.345339208,0.0
B22,0,2,400.0,0.0,12.22809413,8.565040133,0.0
B22,0,3,400.0,0.0,12.22809413,8.587408598,0.0
B22,0,4,400.0,0.0,12.22809413,8.516397598,0.0
B22,0,5,400.0,0.0,12.22809413,8.650648735,0.0
B22,0,6,400.0,0.0,12.22809413,8.46506689,0.0
B22,0,7,400.0,0.0,19.85020622,13.07497764,0.0
B22,0,8,400.0,0.0,19.9810483,12.4896978,0.0
B22,0,9,400.0,0.0,27.16218746,14.98488783,0.0
B22,0,10,400.0,0.0,27.774988499999996,13.08699747,0.0
B22,0,11,400.0,0.0,27.473185270000002,12.10963873,0.0
B22,0,12,400.0,0.0,28.12744924,11.7287727,0.0
B22,0,13,400.0,0.0,19.01156588,8.101924671,0.0
B22,0,14,400.0,0.0,18.26516628,7.999542548,0.0
B22,0,15,400.0,0.0,18.18877664,7.943514251000001,0.0
B22,0,16,400.0,0.0,18.29261964,8.101760443,0.0
B22,0,17,400.0,0.0,18.73453043,9.211618304,0.0
B22,0,18,400.0,0.0,14.63761763,7.582284993,0.0
B22,0,19,400.0,0.0,14.63239885,8.45465751,0.0
B22,0,20,400.0,0.0,12.22809413,7.675262097000001,0.0
B22,0,21,400.0,0.0,12.22809413,8.520393721,0.0
B22,0,22,400.0,0.0,12.22809413,9.333137334,0.0
B22,0,23,400.0,0.0,12.22809413,9.208331452,0.0
B22,0,24,400.0,0.0,12.22809413,9.248499899,0.0
B24,0,1,399.1259742569554,0.0,10.86941701,6.529190407,5.000000011380917
B24,0,2,399.079985849674,0.0,10.86941701,7.613369006999999,5.000000011380917
B24,0,3,399.079142082736,0.0,10.86941701,7.633252087000001,5.000000011380917
B24,0,4,399.0818206658045,0.0,10.86941701,7.570131198000001,5.000000011380917
B24,0,5,399.0767565208239,0.0,10.86941701,7.689465542,5.000000011380917
B24,0,6,399.08375684534076,0.0,10.86941701,7.524503902,5.000000011380917
B24,0,7,398.4022289183204,0.0,17.644627750000005,11.62220234,5.000000011380917
B24,0,8,399.02056481551136,8.080500000000002,17.76093182,11.1019536,5.000000011380917
B24,0,9,399.2946656494008,19.4045,24.14416664,13.31990029,5.000000011380917
B24,0,10,400.87519620279943,40.328,24.68887867,11.63288664,5.000000011380917
B24,0,11,402.6539031078139,63.8915,24.42060912,10.76412331,5.000000011380917
B24,0,12,403.4631309735932,75.4585,25.00217711,10.42557573,5.000000011380917
B24,0,13,403.4578847501322,65.406,16.89916967,7.201710819,5.000000011380917
B24,0,14,402.81325960537134,55.7835,16.235703360000002,7.110704487,5.000000011380917
B24,0,15,401.84408561391274,42.3815,16.16780146,7.060901557,5.000000011380917
B24,0,16,400.41757682997803,23.1535,16.260106350000004,7.201564839,5.000000011380917
B24,0,17,399.0413202423074,5.5925,16.65291594,8.188105159,5.000000011380917
B24,0,18,398.9569536585442,0.0,13.011215670000002,6.739808883,5.000000011380917
B24,0,19,398.9243934339763,0.0,13.00657676,7.515251119999999,5.000000011380917
B24,0,20,399.11353858785816,0.0,10.86941701,6.822455197,5.000000011380917
B24,0,21,399.08166994232295,0.0,10.86941701,7.573683308,5.000000011380917
B24,0,22,399.05100458541745,0.0,10.86941701,8.296122075,5.000000011380917
B24,0,23,399.0557147319263,0.0,10.86941701,8.185183512999998,5.000000011380917
B24,0,24,399.0541988283221,0.0,10.86941701,8.2208888,5.000000011380917
B28,0,1,399.3895814874827,0.0,5.97929735,2.626619907,2.06342018534765e-08
B28,0,2,399.3826191953042,0.0,5.97929735,2.776102341,2.06342018534765e-08
B28,0,3,399.3852970936009,0.0,5.97929735,2.718609097,2.06342018534765e-08
B28,0,4,399.38797486074645,0.0,5.97929735,2.661115853,2.06342018534765e-08
B28,0,5,399.41152130070196,0.0,5.97929735,2.155432981,2.06342018534765e-08
B28,0,6,399.42567167970304,0.0,5.97929735,1.8514327579999998,2.06342018534765e-08
B28,0,7,399.4387816169982,0.0,5.97929735,1.5697128070000002,2.06342018534765e-08
B28,0,8,400.12382096118876,8.080500000000002,5.97929735,1.019405647,2.06342018534765e-08
B28,0,9,401.0504099454107,19.4045,5.97929735,0.844022193,2.06342018534765e-08
B28,0,10,402.72255748219186,40.328,5.97929735,1.010845769,2.06342018534765e-08
B28,0,11,404.5871390979919,63.8915,5.97929735,1.033636975,2.06342018534765e-08
B28,0,12,405.4845977634312,75.4585,6.074129701,1.055106882,2.06342018534765e-08
B28,0,13,404.70626719330943,65.406,5.97929735,1.030303414,2.06342018534765e-08
B28,0,14,403.9443832284369,55.7835,5.97929735,1.118470416,2.06342018534765e-08
B28,0,15,402.87388097566134,42.3815,5.97929735,1.278782105,2.06342018534765e-08
B28,0,16,401.33452646399724,23.1535,5.97929735,1.243745618,2.06342018534765e-08
B28,0,17,399.90268286923447,5.5925,5.97929735,1.416640069,2.06342018534765e-08
B28,0,18,399.45058687690994,0.0,5.97929735,1.315972849,2.06342018534765e-08
B28,0,19,399.44612224945985,0.0,5.97929735,1.411942178,2.06342018534765e-08
B28,0,20,399.4369957161722,0.0,5.97929735,1.608096741,2.06342018534765e-08
B28,0,21,399.4066102258327,0.0,5.97929735,2.26092181,2.06342018534765e-08
B28,0,22,399.38673160631737,0.0,5.97929735,2.687809145,2.06342018534765e-08
B28,0,23,399.37802821834896,0.0,5.97929735,2.874662187,2.06342018534765e-08
B28,0,24,399.3755278998584,0.0,6.074129701,2.761726554,2.06342018534765e-08
