i,j,d,t,P_kW,Q_kVar,I_A,y_pos,y_neg
B22,B24,0,1,10.869416905372894,1.5291903969032987,15.860511572076769,1.0000000009117793,1.7151256675473876e-09
B22,B24,0,2,10.869416982688426,2.6133689980938937,16.15435095021155,1.0000000008400376,1.5589722469117288e-09
B22,B24,0,3,10.869416720837492,2.6332520838607953,16.161108814241146,1.0000000008386283,1.5602262640155745e-09
B22,B24,0,4,10.869416681217505,2.570131192167169,16.139822430972437,1.000000000837986,1.5590106584914333e-09
B22,B24,0,5,10.869416675287772,2.6894655455031824,16.180475839155996,1.0000000008374512,1.5587661706602672e-09
B22,B24,0,6,10.869417031245762,2.524503906984686,16.124739891323834,1.0000000008371186,1.5632187039157794e-09
B22,B24,0,7,17.644622252637067,6.622202286705579,27.256809925204884,1.0000000010504808,1.9646477929664253e-09
B22,B24,0,8,9.680429384767526,6.101953568015027,16.53695577246184,1.000000001199944,2.084973928717941e-09
B22,B24,0,9,4.739666810533154,8.319900275244734,13.832884938209268,1.00000000083572,2.4080649433274045e-09
B22,B24,0,10,-15.639114653240018,6.632886635698834,24.492637478215403,1.7080533164206224e-09,1.0000000009552166
B22,B24,0,11,-39.47089184742448,5.764104793076321,57.384930192470804,1.8622316246163087e-09,1.000000000987029
B22,B24,0,12,-50.45632408034861,5.425574842559022,72.93088054673102,2.0004852855276796e-09,1.0000000010307797
B22,B24,0,13,-48.50682380364155,2.20171078178865,69.7833875619701,1.8836709390408642e-09,1.0000000008982055
B22,B24,0,14,-39.54779613426149,2.1107044663894605,56.96291054015656,1.6749044081133847e-09,1.0000000009862289
B22,B24,0,15,-26.213697738499476,2.06090152735178,37.86559858562833,1.6108114922044224e-09,1.0000000010660821
B22,B24,0,16,-6.893393582406198,2.201564832450128,10.439482231185277,1.7048997652957978e-09,1.0000000008593584
B22,B24,0,17,11.060415286306931,3.188105144165218,16.634259399426572,1.000000000917719,2.113683398124894e-09
B22,B24,0,18,13.011215691904178,1.7398088869577981,18.971973915933255,1.0000000009381051,1.7183424711520278e-09
B22,B24,0,19,13.006576053549843,2.5152511160662328,19.14694508121138,1.000000000852954,1.550452810660676e-09
B22,B24,0,20,10.869416867247933,1.8224551969970304,15.925323784496022,1.0000000009097352,1.7095175025961987e-09
B22,B24,0,21,10.86941668387114,2.5736833041997116,16.141007715758956,1.0000000008367356,1.562304054000936e-09
B22,B24,0,22,10.869416309856726,3.2961220576426387,16.413639297605503,1.0000000008783136,1.7115992936736027e-09
B22,B24,0,23,10.869416373920853,3.1851835094784855,16.367738788545008,1.0000000008764443,1.6941244877701298e-09
B22,B24,0,24,10.869417011844671,3.2208888095236974,16.38235452200309,1.0000000008747816,1.7014148764175472e-09
B22,B28,0,1,5.979297313332062,2.6266199184546344,9.433627819538776,1.000000000747373,1.7278066859357368e-09
B22,B28,0,2,5.979297339115142,2.776102336877357,9.522603511336047,1.0000000007256817,1.7411610180459051e-09
B22,B28,0,3,5.979297348173039,2.718609096217959,9.487898551805003,1.0000000007353036,1.703627416893987e-09
B22,B28,0,4,5.979297220035773,2.66111586338534,9.453796239184257,1.000000000738982,1.7122345834281472e-09
B22,B28,0,5,5.979297384938228,2.155432993077942,9.180810837351313,1.0000000007107677,1.618816077714472e-09
B22,B28,0,6,5.979297320430127,1.8514327606011978,9.041182752552935,1.0000000006590706,1.463420017943308e-09
B22,B28,0,7,5.979297339520803,1.5697128173346084,8.9291334842655,1.000000000680252,1.4867328131718962e-09
B22,B28,0,8,-2.1012028105555722,1.019405651057013,3.3705385421248364,1.8269557639910687e-09,1.0000000009048644
B22,B28,0,9,-13.425203762664278,0.8440221898722203,19.3904276153927,1.3586619839850994e-09,1.0000000009525318
B22,B28,0,10,-34.348702722731716,1.0108457684088494,49.431047037804085,1.3468251496224546e-09,1.0000000008183105
B22,B28,0,11,-57.912203206842165,1.0336370086383178,83.12439130365692,1.3773028274988143e-09,1.0000000009499423
B22,B28,0,12,-69.3843698492937,1.0551068284128582,99.47499518746046,1.6112079992162588e-09,1.0000000011108643
B22,B28,0,13,-59.426702264666254,1.0303034460159615,85.28476450184806,1.4344043157092081e-09,1.0000000008835799
B22,B28,0,14,-49.80419553286095,1.118470408884367,71.55065780497982,1.279884678964733e-09,1.000000000914047
B22,B28,0,15,-36.402198470943645,1.2787821333440625,52.38594686708966,1.2328454948484355e-09,1.000000000929307
B22,B28,0,16,-17.174202410660836,1.2437456181584337,24.812341987348635,1.3159081389870283e-09,1.0000000007663465
B22,B28,0,17,0.3867973103910276,1.4166400658423925,2.1201173271680123,1.000000001102662,1.47474564294747e-09
B22,B28,0,18,5.97929734100318,1.315972843765914,8.843057430029935,1.000000000687616,1.505136223344654e-09
B22,B28,0,19,5.979297323941902,1.4119421701993224,8.873933498372637,1.0000000006458434,1.429183536104152e-09
B22,B28,0,20,5.979297337106235,1.6080967348264248,8.943399929796417,1.0000000006416694,1.4165184959915863e-09
B22,B28,0,21,5.979297338606546,2.2609218057644593,9.233652424347047,1.0000000007193928,1.6418961302088693e-09
B22,B28,0,22,5.979297325413073,2.687809148022375,9.469553151164616,1.0000000006888379,1.864237104299998e-09
B22,B28,0,23,5.979297374545568,2.874662181226809,9.583480261856627,1.000000000687594,1.870006403964802e-09
B22,B28,0,24,6.074129466208115,2.7617265387177157,9.63849266921479,1.000000000687056,1.857066219586499e-09
B24,B28,0,1,0.0,0.0,0.00806264335691596,3.808419416544137e-09,3.812390914716726e-09
B24,B28,0,2,0.0,0.0,0.008059467004091705,3.8203984518647224e-09,3.806778920511964e-09
B24,B28,0,3,0.0,0.0,0.008053223896569595,3.8082868278450944e-09,3.80769628110201e-09
B24,B28,0,4,0.0,0.0,0.008054276532143108,3.808179056333568e-09,3.807847958895248e-09
B24,B28,0,5,0.0,0.0,0.008060726318849321,3.879101894445999e-09,3.804553000305211e-09
B24,B28,0,6,-1.0527528939510648e-08,0.0,0.00806096870543491,3.8778355269177845e-09,3.80638212046464e-09
B24,B28,0,7,-2.708914170425588e-08,0.0,0.007993505524849592,3.87351449841426e-09,3.81257627605145e-09
B24,B28,0,8,1.651200374405172e-07,0.0,0.0077892856733501005,3.9247878766190904e-09,3.8200343245016405e-09
B24,B28,0,9,1.7705530541849094e-07,0.0,0.007746255982324537,3.925145109988221e-09,3.8190514444733615e-09
B24,B28,0,10,1.03739539120842e-08,0.0,0.008038930401134745,3.817604539082295e-09,3.798429370569514e-09
B24,B28,0,11,7.130193405491277e-08,-3.923678014138304e-08,0.008050799767737917,3.844433956305654e-09,3.778866033697418e-09
B24,B28,0,12,3.634175894256484e-08,4.471717303046697e-08,0.008066286692972683,3.8401799118841165e-09,3.814418503161072e-09
B24,B28,0,13,2.051612030776784e-08,-3.3607343725438805e-08,0.008066715862295931,3.851328943471097e-09,3.8096070879015285e-09
B24,B28,0,14,1.4769930312104352e-08,0.0,0.008063321439928658,3.813960384730715e-09,3.854618634630485e-09
B24,B28,0,15,4.900256352146804e-08,-2.8298339293434995e-08,0.008046010252470126,3.9180484554289175e-09,3.769855731140033e-09
B24,B28,0,16,0.0,0.0,0.008028970423847686,3.813019677044541e-09,3.802151879718867e-09
B24,B28,0,17,3.8046958333419614e-08,0.0,0.008046498057272766,3.824850406269013e-09,3.799406102405443e-09
B24,B28,0,18,0.0,0.0,0.008048236213693351,3.880223520938809e-09,3.803678775537514e-09
B24,B28,0,19,0.0,0.0,0.00804766709354597,3.879876561303162e-09,3.80506655974078e-09
B24,B28,0,20,0.0,0.0,0.008057202911906008,3.87817917483326e-09,3.8039391695437386e-09
B24,B28,0,21,0.0,0.0,0.008057587407783215,3.80609207023079e-09,3.809385077091438e-09
B24,B28,0,22,-3.899828464799488e-08,0.0,0.008040508808060072,3.801889315858871e-09,3.818459926414663e-09
B24,B28,0,23,-3.449196199134431e-08,0.0,0.008045569791689834,3.873728678003709e-09,3.813447055896096e-09
B24,B28,0,24,-3.821039622218619e-08,0.0,0.008040659563140996,3.802352529985119e-09,3.8181285770010036e-09
