bus,d,t,P_sup,Q_sup
B22,0,1,29.107915154809522,11.518847874901473
B22,0,2,29.108917942163444,13.972780858418027
B22,0,3,29.10887286117737,13.957513488923999
B22,0,4,29.108748488387494,13.765817529247757
B22,0,5,29.108367981812684,13.513503463575914
B22,0,6,29.107958811680632,12.858726754225843
B22,0,7,43.54809371891786,21.308995090030077
B22,0,8,27.58574357214337,19.625543405363356
B22,0,9,18.530463785847505,24.17943827743296
B22,0,10,-21.92044709485834,20.89721364816603
B22,0,11,-68.94088155523426,19.45919071615496
B22,0,12,-90.27180675026077,19.03025853082122
B22,0,13,-87.77694014188376,11.985952950853767
B22,0,14,-70.29717914843268,11.678366283129707
B22,0,15,-44.03104506780541,11.508728001294857
B22,0,16,-5.7050610890641735,11.586868745151829
B22,0,17,30.20682582801103,13.830631226810862
B22,0,18,33.667833954984204,10.660660385150159
B22,0,19,33.65862377772221,12.404813186292131
B22,0,20,29.10721761965202,11.123115171570483
B22,0,21,29.1083495455862,13.372944544969746
B22,0,22,29.109571478153526,15.335710082994973
B22,0,23,29.109649756907835,15.286863256480204
B22,0,24,29.20462815237195,15.249884521751202
