bus,d,t,V_V,P_gen_kW,P_dem_kW,Q_dem_kVar,n_cap
B9,0,1,400.0,0.0,19.23138576,0.0,-0.0
B9,0,2,400.0,0.0,17.80869599,0.0,-0.0
B9,0,3,400.0,0.0,17.0973511,0.0,-0.0
B9,0,4,400.0,0.0,16.74167866,0.0,-0.0
B9,0,5,400.0,0.0,17.03600888,0.0,-0.0
B9,0,6,400.0,0.0,19.97826389,0.0,-0.0
B9,0,7,400.0,0.0,25.592963419999997,0.0,-0.0
B9,0,8,400.0,0.0,30.24683681999999,0.0,-0.0
B9,0,9,400.0,0.0,30.09109648,0.0,-0.0
B9,0,10,400.0,0.0,29.078749589999997,0.0,-0.0
B9,0,11,400.0,0.0,28.160908360000004,0.0,-0.0
B9,0,12,400.0,0.0,28.516580800000003,0.0,-0.0
B9,0,13,400.0,0.0,28.160908360000004,0.0,-0.0
B9,0,14,400.0,0.0,27.093891029999998,0.0,-0.0
B9,0,15,400.0,0.0,26.73821858,0.0,-0.0
B9,0,16,400.0,0.0,28.02437887,0.0,-0.0
B9,0,17,400.0,0.0,34.43315041,0.0,-0.0
B9,0,18,400.0,0.0,43.20693493,0.0,-0.0
B9,0,19,400.0,0.0,43.71839419999999,0.0,-0.0
B9,0,20,400.0,0.0,40.77952689,0.0,-0.0
B9,0,21,400.0,0.0,39.35683712,0.0,-0.0
B9,0,22,400.0,0.0,36.38879191,0.0,-0.0
B9,0,23,400.0,0.0,29.86412558,0.0,-0.0
B9,0,24,400.0,0.0,24.07634121,0.0,-0.0
B10,0,1,394.333292624486,0.0,14.26610982,8.56956241,14.0
B10,0,2,394.0195408878149,0.0,14.26610982,9.992546822,14.0
B10,0,3,394.01377776060434,0.0,14.26610982,10.01864336,14.0
B10,0,4,394.0320722674067,0.0,14.26610982,9.935797198,14.0
B10,0,5,393.99748246749306,0.0,14.26610982,10.09242352,14.0
B10,0,6,394.0452944881387,0.0,14.26610982,9.875911372,14.0
B10,0,7,389.2871800221345,0.0,23.15857392,15.25414058,14.0
B10,0,8,390.2307180573121,0.0,23.31122301,14.5713141,14.0
B10,0,9,387.17379375707446,0.0,31.689218710000002,17.48236913,14.0
B10,0,10,390.5267620345179,0.0,32.40415325,15.26816372,14.0
B10,0,11,394.3253460957599,0.0,32.05204948,14.127911849999998,14.0
B10,0,12,395.7399400902042,0.0,32.81535745,13.68356815,14.0
B10,0,13,399.90573880698366,0.0,22.18016019,9.45224545,14.0
B10,0,14,398.42131056348256,0.0,21.30936066,9.33279964,14.0
B10,0,15,396.5470977709817,0.0,21.22023942,9.267433293,14.0
B10,0,16,393.6111088703739,0.0,21.34138959,9.452053851,14.0
B10,0,17,390.4915310310782,0.0,21.85695217,10.74688802,14.0
B10,0,18,392.6978956977958,0.0,17.07722057,8.845999159,14.0
B10,0,19,392.9390461677092,0.0,17.07113199,9.863767095,14.0
B10,0,20,394.2485210027232,0.0,14.26610982,8.954472446,14.0
B10,0,21,394.03104282348636,0.0,14.26610982,9.940459341,14.0
B10,0,22,393.82145520131905,0.0,14.26610982,10.88866022,14.0
B10,0,23,393.8536680977087,0.0,14.26610982,10.74305336,14.0
B10,0,24,393.843301584006,0.0,14.26610982,10.78991655,14.0
B13,0,1,396.8474084630725,0.0,5.434708503,3.264595204,-0.0
B13,0,2,396.6820708627601,0.0,5.434708503,3.8066845040000006,-0.0
B13,0,3,396.67903289999396,0.0,5.434708503,3.8166260429999994,-0.0
B13,0,4,396.6886765078386,0.0,5.434708503,3.7850655990000006,-0.0
B13,0,5,396.67044284739256,0.0,5.434708503,3.844732771,-0.0
B13,0,6,396.69564613557606,0.0,5.434708503,3.762251951,-0.0
B13,0,7,394.18268604550724,0.0,8.822313876,5.811101172,-0.0
B13,0,8,394.6549991632628,0.0,8.880465909,5.5509768,-0.0
B13,0,9,393.0120190876265,0.0,12.07208332,6.659950146,-0.0
B13,0,10,394.68528881885356,0.0,12.34443934,5.816443321,-0.0
B13,0,11,396.5854961924489,0.0,12.21030456,5.382061655999999,-0.0
B13,0,12,397.28150259814674,0.0,12.50108855,5.212787867,-0.0
B13,0,13,399.51755212068394,0.0,8.449584835,3.600855409,-0.0
B13,0,14,398.7914056756956,0.0,8.117851680000001,3.555352244,-0.0
B13,0,15,397.8604240154786,0.0,8.08390073,3.530450778,-0.0
B13,0,16,396.3954830198286,0.0,8.130053175000002,3.600782419,-0.0
B13,0,17,394.8263290451959,0.0,8.32645797,4.09405258,-0.0
B13,0,18,395.9959782949981,0.0,6.505607835000001,3.3699044419999997,-0.0
B13,0,19,396.11012290385224,0.0,6.503288378,3.7576255599999997,-0.0
B13,0,20,396.80274673368115,0.0,5.434708503,3.4112275980000004,-0.0
B13,0,21,396.68813385914154,0.0,5.434708503,3.786841654,-0.0
B13,0,22,396.5776323460443,0.0,5.434708503,4.148061037,-0.0
B13,0,23,396.5946190498038,0.0,5.434708503,4.092591757000001,-0.0
B13,0,24,396.5891526334808,0.0,5.434708503,4.1104444,-0.0
B14,0,1,395.0773061311231,0.0,8.152062754000001,4.896892806,-0.0
B14,0,2,394.81782236892775,0.0,8.152062754000001,5.710026755,-0.0
B14,0,3,394.8130555662922,0.0,8.152062754000001,5.724939065,-0.0
B14,0,4,394.8281872731321,0.0,8.152062754000001,5.677598399,-0.0
