i,j,d,t,P_kW,Q_kVar,I_A,y_pos,y_neg
B9,B13,0,1,42.196704995723685,2.1866322255789483,61.2281101748321,1.0,-0.0
B9,B13,0,2,42.19513450213497,6.183646502729637,61.80974574765506,1.0,-0.0
B9,B13,0,3,42.19513730546056,6.25696695106705,61.82548360044683,1.0,-0.0
B9,B13,0,4,42.19513232452344,6.024205842701197,61.77614612819605,1.0,-0.0
B9,B13,0,5,42.195151320692524,6.464262047964758,61.87095437003068,1.0,-0.0
B9,B13,0,6,42.19513586956286,5.855957207404376,61.7416193981249,1.0,-0.0
B9,B13,0,7,67.6776147990961,21.151315170415437,103.09065265085793,1.0,-0.0
B9,B13,0,8,62.40035399317922,19.190525838379816,94.86144785854559,1.0,-0.0
B9,B13,0,9,79.81868865721228,27.5653503840098,122.95439179795169,1.0,-0.0
B9,B13,0,10,60.747809332623376,21.383111487216567,93.574916705189,1.0,-0.0
B9,B13,0,11,36.51923514373088,18.510704518194068,59.348363786365134,1.0,-0.0
B9,B13,0,12,27.53551253064074,17.54474548333667,47.28662632260015,1.0,-0.0
B9,B13,0,13,3.6170539544272664,5.400942223242227,9.387960395352742,1.0,-0.0
B9,B13,0,14,14.032500967836304,4.754069942198308,21.41730717689195,1.0,-0.0
B9,B13,0,15,27.087618548659997,4.350011805598019,39.704591859321525,1.0,-0.0
B9,B13,0,16,46.92600105523366,4.736461331091173,68.38340549884533,1.0,-0.0
B9,B13,0,17,66.14225005971993,8.464588765867683,96.8711506967949,1.0,-0.0
B9,B13,0,18,53.3314717194822,3.0324305911214307,77.48835892088545,1.0,-0.0
B9,B13,0,19,50.17701520517604,5.86650061411393,73.27266855882267,1.0,-0.0
B9,B13,0,20,42.195946211711046,3.2676140512378256,61.3311494865451,1.0,-0.0
B9,B13,0,21,42.19513232497227,6.037304245956933,61.778900840648575,1.0,-0.0
B9,B13,0,22,42.19588532825869,8.701725989494031,62.45268736838884,1.0,0.0
B9,B13,0,23,42.195671574970945,8.29251832587234,62.33395317748457,1.0,-0.0
B9,B13,0,24,42.195736481495594,8.42421853153221,62.37157322742457,1.0,-0.0
B9,B18,0,1,2.468871073000066,-0.593478623,3.6657457576472825,1.0,-0.0
B9,B18,0,2,2.468871073,-0.593478623,3.665745757647189,1.0,-0.0
B9,B18,0,3,2.468871073,-0.581609051,3.6617809043163807,1.0,-0.0
B9,B18,0,4,2.468871073,-0.569739478,3.6578920171775797,1.0,-0.0
B9,B18,0,5,2.468871073,-0.629087341,3.678093634237823,1.0,-0.0
B9,B18,0,6,2.468871073,-0.512087269,3.6400914996375655,1.0,-0.0
B9,B18,0,7,2.468871073,-0.39520024099999995,3.6096260154649413,1.0,-0.0
B9,B18,0,8,-2.6353165130000016,0.11851632900000002,3.8066898830525338,-0.0,1.0
B9,B18,0,9,-7.775126129999999,3.1746031746031744,12.115242928714492,-0.0,1.0
B9,B18,0,10,-20.142119410000003,6.158131321,30.35435187980497,-0.0,1.0
B9,B18,0,11,-37.86695814,8.597393293,55.87736310137294,-0.0,1.0
B9,B18,0,12,-50.06200498999999,8.105297638999998,72.89422327141914,-0.0,1.0
B9,B18,0,13,-39.62430779000001,8.366349627,58.26644803211263,0.0,1.0
B9,B18,0,14,-29.55169864,8.671247145,44.35175816755029,-0.0,1.0
B9,B18,0,15,-15.825776289999999,8.488347401,25.894406233258344,-0.0,1.0
B9,B18,0,16,3.948838900000001,9.123737104,14.361693181312596,1.0,-0.0
B9,B18,0,17,22.13199616,8.302242552,34.20394598019719,1.0,-0.0
B9,B18,0,18,27.87597431,7.093439892,41.64152379712735,1.0,-0.0
B9,B18,0,19,18.09193007,3.701704113,26.7046181861476,1.0,-0.0
B9,B18,0,20,11.89564257,0.954129665,17.244718728493833,1.0,-0.0
B9,B18,0,21,11.89564257,-0.9722400179999999,17.2452733057382,1.0,0.0
B9,B18,0,22,5.699355075,-1.533943556,8.522869486342795,1.0,-0.0
B9,B18,0,23,2.4928321480000006,-0.708190951,3.741198558505889,1.0,-0.0
