bus,d,t,P_sup,Q_sup
B9,0,1,73.15631080318835,1.788486534579613
B9,0,2,69.22317652164004,5.7840871197950205
B9,0,3,70.05545052049993,5.872208548186695
B9,0,4,68.04935626480406,5.648005162791546
B9,0,5,73.29806642220278,6.04042027333866
B9,0,6,87.83967042188604,5.598747212463401
B9,0,7,122.51259882472738,21.36480461521936
B9,0,8,119.95062941295554,19.860750332294103
B9,0,9,138.94509530555538,31.651498654844083
B9,0,10,111.052168868996,28.22734411212318
B9,0,11,77.29312179696373,27.75521258345166
B9,0,12,65.70260877463458,26.470412733916504
B9,0,13,44.050041755061564,14.280870566297864
B9,0,14,59.99946259085141,13.84225441419302
B9,0,15,83.03452675121852,13.204959335693854
B9,0,16,124.2083174254042,14.356312637132746
B9,0,17,174.34198212926745,17.61375492997112
B9,0,18,176.62129131195456,10.84561264355706
B9,0,19,160.6830627009393,10.162622394423593
B9,0,20,140.01959462827548,4.6764550342814575
B9,0,21,135.2345736482395,5.485830374261879
B9,0,22,122.69697059618548,7.547481920438464
B9,0,23,95.51069929533391,7.830436413440148
B9,0,24,82.4902685227571,7.954944085653349
